"",BBFB1.Q.N.DE.TR.S1.S1.T.C.IN1._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.TR.S1.S1.T.C.IN1._Z._Z._Z._T._X.N_FLAGS
"",Current account / Primary income / Receipts / Turkey,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:31:52,
1991-01,80.478,
1991-04,83.588,
1991-07,85.376,
1991-10,93.852,
1992-01,120.244,
1992-04,115.565,
1992-07,116.341,
1992-10,106.345,
1993-01,105.386,
1993-04,101.977,
1993-07,107.140,
1993-10,118.983,
1994-01,113.363,
1994-04,114.868,
1994-07,108.089,
1994-10,109.951,
1995-01,137.182,
1995-04,135.204,
1995-07,128.031,
1995-10,144.194,
1996-01,101.425,
1996-04,113.978,
1996-07,102.333,
1996-10,105.166,
1997-01,137.560,
1997-04,142.572,
1997-07,153.250,
1997-10,160.682,
1998-01,141.715,
1998-04,165.213,
1998-07,174.708,
1998-10,178.816,
1999-01,198.080,
1999-04,181.567,
1999-07,207.111,
1999-10,199.503,
2000-01,219.605,
2000-04,253.434,
2000-07,253.463,
2000-10,252.326,
2001-01,221.141,
2001-04,211.667,
2001-07,194.980,
2001-10,187.072,
2002-01,184.910,
2002-04,177.445,
2002-07,162.254,
2002-10,144.279,
2003-01,144.061,
2003-04,141.437,
2003-07,139.829,
2003-10,140.681,
2004-01,189.162,
2004-04,183.589,
2004-07,198.119,
2004-10,210.582,
2005-01,185.097,
2005-04,199.896,
2005-07,215.704,
2005-10,233.712,
2006-01,268.004,
2006-04,278.701,
2006-07,293.028,
2006-10,303.491,
2007-01,359.868,
2007-04,368.057,
2007-07,360.091,
2007-10,331.896,
2008-01,346.276,
2008-04,292.656,
2008-07,238.467,
2008-10,242.172,
2009-01,236.229,
2009-04,236.444,
2009-07,231.882,
2009-10,245.135,
2010-01,218.981,
2010-04,235.016,
2010-07,202.609,
2010-10,201.230,
2011-01,227.937,
2011-04,263.191,
2011-07,254.807,
2011-10,279.661,
2012-01,280.333,
2012-04,292.483,
2012-07,287.544,
2012-10,311.067,
2013-01,316.208,
2013-04,323.518,
2013-07,309.691,
2013-10,295.077,
2014-01,287.186,Provisional value
2014-04,293.582,Provisional value
2014-07,259.308,Provisional value
