"",BBK01.OELB13V,BBK01.OELB13V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:55,
2002-01,1.409,
2002-04,1.406,
2002-07,1.379,
2002-10,1.364,
2003-01,1.355,
2003-04,1.335,
2003-07,1.307,
2003-10,1.278,
2004-01,1.245,
2004-04,1.203,
2004-07,1.177,
2004-10,1.159,
2005-01,1.123,
2005-04,1.094,
2005-07,1.066,
2005-10,1.053,
2006-01,1.047,
2006-04,1.045,
2006-07,1.022,
2006-10,1.021,
2007-01,1.013,
2007-04,1.019,
2007-07,1.008,
2007-10,1.017,
2008-01,1.007,
2008-04,1.008,
2008-07,1.019,
2008-10,1.029,
2009-01,1.025,
2009-04,1.028,
2009-07,1.037,
2009-10,1.039,
2010-01,1.044,
2010-04,1.047,
2010-07,1.047,
2010-10,1.050,
2011-01,1.054,
2011-04,1.055,
2011-07,1.056,
2011-10,1.058,
2012-01,1.064,
2012-04,2.104,
2012-07,2.111,
2012-10,2.118,
2013-01,2.128,
2013-04,2.130,
2013-07,2.142,
2013-10,2.152,
2014-01,2.147,
2014-04,2.158,
2014-07,2.161,
