"",BBK01.OEAM09L,BBK01.OEAM09L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:39:04,
2002-01,0.066,
2002-04,0.072,
2002-07,0.070,
2002-10,0.055,
2003-01,0.035,
2003-04,0.043,
2003-07,0.050,
2003-10,0.051,
2004-01,0.048,
2004-04,0.030,
2004-07,0.032,
2004-10,0.035,
2005-01,0.046,
2005-04,0.036,
2005-07,0.031,
2005-10,0.027,
2006-01,0.016,
2006-04,0.027,
2006-07,0.026,
2006-10,0.022,
2007-01,0.029,
2007-04,0.028,
2007-07,0.029,
2007-10,0.029,
2008-01,0.022,
2008-04,0.014,
2008-07,0.013,
2008-10,0.012,
2009-01,0.028,
2009-04,0.043,
2009-07,0.043,
2009-10,0.053,
2010-01,0.046,
2010-04,0.037,
2010-07,0.034,
2010-10,0.028,
2011-01,0.023,
2011-04,0.017,
2011-07,0.013,
2011-10,0.015,
2012-01,0.012,
2012-04,0.009,
2012-07,0.010,
2012-10,0.015,
2013-01,0.014,
2013-04,0.010,
2013-07,0.013,
2013-10,0.009,
2014-01,0.010,
2014-04,0.023,
2014-07,0.023,
