"",BBK01.OEAC29G,BBK01.OEAC29G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:36,
2002-01,8.421,
2002-04,8.531,
2002-07,8.198,
2002-10,8.108,
2003-01,7.759,
2003-04,7.604,
2003-07,7.562,
2003-10,7.403,
2004-01,7.121,
2004-04,7.128,
2004-07,7.024,
2004-10,6.998,
2005-01,6.897,
2005-04,6.750,
2005-07,6.388,
2005-10,6.579,
2006-01,6.523,
2006-04,6.561,
2006-07,6.457,
2006-10,6.210,
2007-01,6.054,
2007-04,5.992,
2007-07,5.848,
2007-10,5.904,
2008-01,5.862,
2008-04,5.995,
2008-07,5.878,
2008-10,6.010,
2009-01,6.173,
2009-04,6.142,
2009-07,6.012,
2009-10,5.802,
2010-01,5.952,
2010-04,5.998,
2010-07,5.779,
2010-10,5.547,
2011-01,5.535,
2011-04,5.513,
2011-07,5.381,
2011-10,5.188,
2012-01,5.218,
2012-04,5.261,
2012-07,5.178,
2012-10,5.055,
2013-01,5.074,
2013-04,5.001,
2013-07,4.844,
2013-10,4.458,
2014-01,4.474,
2014-04,4.477,
2014-07,4.351,
