"",BBSF2.M.1.S.I0122.GEF01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0122.GEF01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed funds / Net asset value / Domestic credit institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:52:37,
2004-01,19,
2004-02,19,
2004-03,19,
2004-04,65,
2004-05,65,
2004-06,89,
2004-07,100,
2004-08,101,
2004-09,135,
2004-10,140,
2004-11,141,
2004-12,216,
2005-01,496,
2005-02,2512,
2005-03,4895,
2005-04,5111,
2005-05,5814,
2005-06,6251,
2005-07,7204,
2005-08,7352,
2005-09,9236,
2005-10,11183,
2005-11,14096,
2005-12,18303,
2006-01,23168,
2006-02,23790,
2006-03,24416,
2006-04,25742,
2006-05,26344,
2006-06,26361,
2006-07,26418,
2006-08,26956,
2006-09,27472,
2006-10,27627,
2006-11,27649,
2006-12,27691,
2007-01,27810,
2007-02,27880,
2007-03,27589,
2007-04,23499,
2007-05,25084,
2007-06,25535,
2007-07,24920,
2007-08,23854,
2007-09,23358,
2007-10,22550,
2007-11,22566,
2007-12,13547,
2008-01,14244,
2008-02,14190,
2008-03,13540,
2008-04,13223,
2008-05,13063,
2008-06,12655,
2008-07,23505,
2008-08,23974,
2008-09,23491,
2008-10,22584,
2008-11,22476,
2008-12,22066,
2009-01,22191,
2009-02,21928,
2009-03,21308,
2009-04,23656,
2009-05,26193,
2009-06,25188,
2009-07,25854,
2009-08,27177,
2009-09,25228,
2009-10,26575,
2009-11,25318,
2009-12,24822,
2010-01,24214,
2010-02,24358,
2010-03,21372,
2010-04,20917,
2010-05,19757,
2010-06,18847,
2010-07,18823,
2010-08,19126,
2010-09,19029,
2010-10,18368,
2010-11,17723,
2010-12,17589,
2011-01,17725,
2011-02,17835,
2011-03,17855,
2011-04,17873,
2011-05,17790,
2011-06,17494,
2011-07,17782,
2011-08,17650,
2011-09,17785,
2011-10,18794,
2011-11,17940,
2011-12,17281,
2012-01,17487,
2012-02,17635,
2012-03,17549,
2012-04,17550,
2012-05,17299,
2012-06,17221,
2012-07,17328,
2012-08,17039,
2012-09,17206,
2012-10,17668,
2012-11,17185,
2012-12,16405,
2013-01,16386,
2013-02,14701,
2013-03,13251,
2013-04,13409,
2013-05,13277,
2013-06,13000,
2013-07,13259,
2013-08,13039,
2013-09,13110,
2013-10,13187,
2013-11,13037,
2013-12,13082,
2014-01,13174,
2014-02,13147,
2014-03,13370,
2014-04,13462,
2014-05,13572,
2014-06,13578,
2014-07,13594,
2014-08,11576,
2014-09,11684,
2014-10,11647,
2014-11,12139,
