"",BBFB1.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods (fob/fob) / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:10,
1991-01,785.477,
1991-02,2515.714,
1991-03,1928.596,
1991-04,367.968,
1991-05,-224.623,
1991-06,1100.315,
1991-07,534.806,
1991-08,2099.189,
1991-09,1713.259,
1991-10,1622.111,
1991-11,2403.575,
1991-12,3202.459,
1992-01,565.699,
1992-02,1886.602,
1992-03,3183.290,
1992-04,1733.065,
1992-05,942.645,
1992-06,1747.998,
1992-07,1396.033,
1992-08,3609.554,
1992-09,3454.536,
1992-10,3595.527,
1992-11,1186.493,
1992-12,931.515,
1993-01,1932.657,
1993-02,3306.162,
1993-03,3751.290,
1993-04,1944.099,
1993-05,2516.791,
1993-06,4060.319,
1993-07,1954.223,
1993-08,2120.120,
1993-09,3234.741,
1993-10,3934.447,
1993-11,3135.896,
1993-12,4318.246,
1994-01,3069.950,
1994-02,3523.374,
1994-03,3431.887,
1994-04,3636.869,
1994-05,3727.801,
1994-06,5529.941,
1994-07,2282.115,
1994-08,4308.748,
1994-09,3616.312,
1994-10,3481.957,
1994-11,4195.811,
1994-12,3354.296,
1995-01,4816.326,
1995-02,4088.626,
1995-03,3034.835,
1995-04,4081.799,
1995-05,4165.426,
1995-06,4177.249,
1995-07,3253.057,
1995-08,3754.237,
1995-09,5007.306,
1995-10,4345.278,
1995-11,6033.822,
1995-12,4000.797,
1996-01,2784.958,
1996-02,5666.023,
1996-03,4507.079,
1996-04,4197.308,
1996-05,5308.737,
1996-06,4122.494,
1996-07,6143.562,
1996-08,4454.132,
1996-09,4938.119,
1996-10,6943.731,
1996-11,6113.721,
1996-12,3631.995,
1997-01,2469.786,
1997-02,4761.907,
1997-03,5118.051,
1997-04,5877.743,
1997-05,4991.614,
1997-06,6350.799,
1997-07,6051.032,
1997-08,4445.828,
1997-09,7431.598,
1997-10,5938.095,
1997-11,6366.605,
1997-12,7345.366,
1998-01,2952.508,
1998-02,6156.839,
1998-03,7222.964,
1998-04,5411.994,
1998-05,6968.263,
1998-06,6196.234,
1998-07,7223.403,
1998-08,4793.154,
1998-09,5778.288,
1998-10,6774.303,
1998-11,8416.874,
1998-12,3740.405,
1999-01,2656.057,
1999-02,6047.280,
1999-03,5756.903,
1999-04,5939.930,
1999-05,3740.114,
1999-06,8125.294,
1999-07,7272.846,
1999-08,3001.918,
1999-09,5876.295,
1999-10,6564.337,
1999-11,8072.366,
1999-12,4963.255,
2000-01,3471.069,
2000-02,7531.126,
2000-03,7069.004,
2000-04,5829.816,
2000-05,5005.443,
2000-06,7247.434,
2000-07,7038.398,
2000-08,3305.591,
2000-09,4115.081,
2000-10,7069.259,
2000-11,4796.333,
