"",BBSF2.M.1.T.00000.TOT01.I.F.AKT.U2.00000.F05100.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.AKT.U2.00000.F05100.Z01.00_FLAGS
"",Funds total / Funds total / Shares / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:07,
2009-09,117753,
2009-10,114073,
2009-11,114646,
2009-12,121156,
2010-01,114519,
2010-02,113814,
2010-03,124086,
2010-04,127872,
2010-05,123583,
2010-06,113758,
2010-07,118365,
2010-08,114432,
2010-09,120342,
2010-10,127959,
2010-11,125117,
2010-12,132171,
2011-01,136503,
2011-02,138434,
2011-03,136287,
2011-04,140683,
2011-05,136770,
2011-06,136317,
2011-07,133232,
2011-08,112446,
2011-09,106027,
2011-10,116853,
2011-11,111775,
2011-12,110927,
2012-01,117656,
2012-02,122559,
2012-03,122117,
2012-04,116663,
2012-05,109394,
2012-06,111802,
2012-07,117350,
2012-08,118822,
2012-09,121258,
2012-10,122876,
2012-11,125488,
2012-12,130012,
2013-01,133752,
2013-02,132759,
2013-03,133171,
2013-04,136007,
2013-05,140998,
2013-06,132532,
2013-07,140836,
2013-08,139220,
2013-09,146118,
2013-10,154404,
2013-11,159617,
2013-12,159194,
2014-01,153166,
2014-02,159833,
2014-03,159502,
2014-04,161676,
2014-05,163511,
2014-06,162483,
2014-07,155814,
2014-08,157213,
2014-09,154266,
2014-10,151466,
2014-11,157065,
