"",BBK01.OEAE03S,BBK01.OEAE03S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:47,
2002-01,0.044,
2002-04,0.071,
2002-07,0.101,
2002-10,0.101,
2003-01,0.079,
2003-04,0.080,
2003-07,0.070,
2003-10,0.052,
2004-01,0.048,
2004-04,0.052,
2004-07,0.052,
2004-10,0.047,
2005-01,0.042,
2005-04,0.047,
2005-07,0.042,
2005-10,0.049,
2006-01,0.042,
2006-04,0.048,
2006-07,0.054,
2006-10,0.054,
2007-01,0.045,
2007-04,0.043,
2007-07,0.046,
2007-10,0.041,
2008-01,0.043,
2008-04,0.042,
2008-07,0.049,
2008-10,0.051,
2009-01,0.065,
2009-04,0.075,
2009-07,0.144,
2009-10,0.096,
2010-01,0.086,
2010-04,0.082,
2010-07,0.085,
2010-10,0.087,
2011-01,0.087,
2011-04,0.086,
2011-07,0.085,
2011-10,0.117,
2012-01,0.097,
2012-04,0.104,
2012-07,0.137,
2012-10,0.149,
2013-01,0.150,
2013-04,0.147,
2013-07,0.213,
2013-10,0.166,
2014-01,0.159,
2014-04,0.181,
2014-07,0.229,
