"",BBK01.OEBI08Q,BBK01.OEBI08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:03,
2002-01,2.032,
2002-04,1.897,
2002-07,1.902,
2002-10,2.039,
2003-01,2.131,
2003-04,2.128,
2003-07,2.153,
2003-10,2.130,
2004-01,2.085,
2004-04,2.033,
2004-07,2.112,
2004-10,2.136,
2005-01,3.757,
2005-04,3.695,
2005-07,3.711,
2005-10,3.708,
2006-01,3.763,
2006-04,3.675,
2006-07,3.584,
2006-10,3.544,
2007-01,3.572,
2007-04,3.530,
2007-07,3.447,
2007-10,3.498,
2008-01,3.506,
2008-04,3.533,
2008-07,3.454,
2008-10,3.484,
2009-01,3.695,
2009-04,3.899,
2009-07,4.106,
2009-10,4.283,
2010-01,4.445,
2010-04,4.423,
2010-07,4.463,
2010-10,4.503,
2011-01,4.454,
2011-04,4.262,
2011-07,4.179,
2011-10,4.201,
2012-01,4.406,
2012-04,4.324,
2012-07,4.333,
2012-10,4.478,
2013-01,4.402,
2013-04,4.343,
2013-07,4.285,
2013-10,4.287,
2014-01,4.259,
2014-04,4.198,
2014-07,4.230,
