"",BBK01.OEAH46O,BBK01.OEAH46O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:05,
2002-01,1.086,
2002-04,1.051,
2002-07,1.030,
2002-10,1.036,
2003-01,1.024,
2003-04,0.978,
2003-07,0.983,
2003-10,0.931,
2004-01,0.918,
2004-04,0.900,
2004-07,0.872,
2004-10,0.840,
2005-01,0.855,
2005-04,0.832,
2005-07,0.833,
2005-10,0.866,
2006-01,0.878,
2006-04,0.910,
2006-07,0.983,
2006-10,1.057,
2007-01,1.089,
2007-04,1.102,
2007-07,1.214,
2007-10,1.336,
2008-01,1.361,
2008-04,1.442,
2008-07,1.547,
2008-10,1.837,
2009-01,1.450,
2009-04,1.236,
2009-07,1.034,
2009-10,1.019,
2010-01,0.785,
2010-04,0.837,
2010-07,0.759,
2010-10,0.738,
2011-01,0.728,
2011-04,0.724,
2011-07,0.753,
2011-10,0.765,
2012-01,0.726,
2012-04,0.678,
2012-07,0.573,
2012-10,0.536,
2013-01,0.458,
2013-04,0.447,
2013-07,0.420,
2013-10,0.417,
2014-01,0.420,
2014-04,0.439,
2014-07,0.422,
