"",BBFB1.Q.N.DE.SI.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:45,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,35.461,
1992-07,91.199,
1992-10,15.623,
1993-01,87.904,
1993-04,-35.779,
1993-07,37.575,
1993-10,-10.496,
1994-01,43.310,
1994-04,21.880,
1994-07,4.049,
1994-10,5.681,
1995-01,9.411,
1995-04,74.277,
1995-07,70.690,
1995-10,249.532,
1996-01,36.832,
1996-04,5.839,
1996-07,35.186,
1996-10,170.363,
1997-01,-47.409,
1997-04,230.561,
1997-07,193.385,
1997-10,137.355,
1998-01,119.571,
1998-04,55.782,
1998-07,363.442,
1998-10,378.523,
1999-01,188.398,
1999-04,329.864,
1999-07,-5.185,
1999-10,203.511,
2000-01,139.208,
2000-04,-22.587,
2000-07,172.509,
2000-10,159.753,
2001-01,116.614,
2001-04,-27.280,
2001-07,332.890,
2001-10,180.840,
2002-01,247.528,
2002-04,205.777,
2002-07,-15.409,
2002-10,-7.042,
2003-01,870.540,
2003-04,-132.163,
2003-07,246.859,
2003-10,143.095,
2004-01,-117.789,
2004-04,20.035,
2004-07,41.812,
2004-10,219.520,
2005-01,192.674,
2005-04,-16.237,
2005-07,-529.804,
2005-10,162.953,
2006-01,-20.587,
2006-04,109.297,
2006-07,-28.359,
2006-10,116.190,
2007-01,40.929,
2007-04,261.767,
2007-07,61.140,
2007-10,188.310,
2008-01,-99.536,
2008-04,296.522,
2008-07,-31.744,
2008-10,-119.810,
2009-01,136.731,
2009-04,48.961,
2009-07,142.798,
2009-10,61.646,
2010-01,89.783,
2010-04,290.034,
2010-07,-35.650,
2010-10,-97.298,
2011-01,324.664,
2011-04,61.050,
2011-07,212.778,
2011-10,-32.927,
2012-01,232.911,
2012-04,-49.322,
2012-07,31.769,
2012-10,-57.053,
2013-01,236.500,
2013-04,299.134,
2013-07,14.440,
2013-10,35.132,
2014-01,153.321,Provisional value
2014-04,43.674,Provisional value
2014-07,-9.781,Provisional value
2014-10,-1.226,Provisional value
