"",BBK01.OEBI04J,BBK01.OEBI04J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:32,
2002-01,1.216,
2002-04,1.173,
2002-07,1.078,
2002-10,1.058,
2003-01,1.030,
2003-04,1.031,
2003-07,0.953,
2003-10,0.884,
2004-01,0.878,
2004-04,0.733,
2004-07,0.759,
2004-10,0.782,
2005-01,0.778,
2005-04,0.724,
2005-07,0.744,
2005-10,1.010,
2006-01,0.960,
2006-04,0.865,
2006-07,0.891,
2006-10,0.980,
2007-01,1.004,
2007-04,1.000,
2007-07,1.343,
2007-10,1.687,
2008-01,1.669,
2008-04,1.843,
2008-07,2.099,
2008-10,2.224,
2009-01,1.958,
2009-04,1.688,
2009-07,1.556,
2009-10,1.567,
2010-01,1.443,
2010-04,1.268,
2010-07,1.296,
2010-10,1.335,
2011-01,1.358,
2011-04,1.270,
2011-07,1.410,
2011-10,1.342,
2012-01,1.371,
2012-04,1.723,
2012-07,1.561,
2012-10,1.249,
2013-01,1.082,
2013-04,1.004,
2013-07,1.074,
2013-10,0.953,
2014-01,1.617,
2014-04,1.611,
2014-07,1.607,
