"",BBK01.OEYB14G,BBK01.OEYB14G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:25:26,
2002-01,1.052,
2002-04,1.092,
2002-07,1.057,
2002-10,1.059,
2003-01,1.062,
2003-04,1.054,
2003-07,1.012,
2003-10,1.005,
2004-01,0.978,
2004-04,0.997,
2004-07,1.058,
2004-10,1.093,
2005-01,1.076,
2005-04,1.085,
2005-07,1.341,
2005-10,1.585,
2006-01,1.475,
2006-04,1.509,
2006-07,1.508,
2006-10,1.378,
2007-01,1.328,
2007-04,1.265,
2007-07,1.217,
2007-10,1.165,
2008-01,1.165,
2008-04,1.279,
2008-07,1.243,
2008-10,1.341,
2009-01,1.318,
2009-04,1.336,
2009-07,1.311,
2009-10,1.242,
2010-01,1.243,
2010-04,1.341,
2010-07,1.332,
2010-10,1.312,
2011-01,1.278,
2011-04,1.266,
2011-07,1.241,
2011-10,1.179,
2012-01,1.101,
2012-04,1.148,
2012-07,1.084,
2012-10,1.058,
2013-01,1.004,
2013-04,0.978,
2013-07,0.919,
2013-10,0.614,
2014-01,0.600,
2014-04,0.586,
2014-07,0.543,
