"",BBK01.OEAE31J,BBK01.OEAE31J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:46,
2002-01,0.988,
2002-04,0.992,
2002-07,1.047,
2002-10,1.115,
2003-01,1.090,
2003-04,1.122,
2003-07,1.120,
2003-10,1.135,
2004-01,1.144,
2004-04,1.143,
2004-07,1.135,
2004-10,1.164,
2005-01,1.259,
2005-04,1.254,
2005-07,1.291,
2005-10,1.353,
2006-01,1.312,
2006-04,1.327,
2006-07,1.303,
2006-10,1.274,
2007-01,1.304,
2007-04,1.295,
2007-07,1.313,
2007-10,1.314,
2008-01,1.351,
2008-04,1.353,
2008-07,1.232,
2008-10,1.230,
2009-01,1.063,
2009-04,1.171,
2009-07,1.178,
2009-10,1.183,
2010-01,1.328,
2010-04,1.188,
2010-07,1.230,
2010-10,1.232,
2011-01,1.216,
2011-04,1.598,
2011-07,1.282,
2011-10,1.309,
2012-01,1.336,
2012-04,1.370,
2012-07,1.421,
2012-10,1.415,
2013-01,1.462,
2013-04,1.485,
2013-07,1.528,
2013-10,1.543,
2014-01,1.588,
2014-04,1.618,
2014-07,1.631,
