"",BBK01.OECB18V,BBK01.OECB18V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:42:26,
2002-01,0.122,
2002-04,0.116,
2002-07,0.113,
2002-10,0.101,
2003-01,0.098,
2003-04,0.099,
2003-07,0.099,
2003-10,0.094,
2004-01,0.083,
2004-04,0.091,
2004-07,0.093,
2004-10,0.086,
2005-01,0.120,
2005-04,0.125,
2005-07,0.126,
2005-10,0.119,
2006-01,0.119,
2006-04,0.125,
2006-07,0.128,
2006-10,0.117,
2007-01,0.126,
2007-04,0.129,
2007-07,0.091,
2007-10,0.091,
2008-01,0.095,
2008-04,0.096,
2008-07,0.096,
2008-10,0.099,
2009-01,0.099,
2009-04,0.096,
2009-07,0.100,
2009-10,0.093,
2010-01,0.093,
2010-04,0.094,
2010-07,0.095,
2010-10,0.091,
2011-01,0.095,
2011-04,0.102,
2011-07,0.100,
2011-10,0.091,
2012-01,0.092,
2012-04,0.089,
2012-07,0.088,
2012-10,0.085,
2013-01,0.086,
2013-04,0.085,
2013-07,0.089,
2013-10,0.086,
2014-01,0.100,
2014-04,0.088,
2014-07,0.087,
