"",BBK01.OEYB11H,BBK01.OEYB11H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:26:33,
2002-01,7.655,
2002-04,7.911,
2002-07,7.683,
2002-10,7.257,
2003-01,6.409,
2003-04,6.073,
2003-07,6.121,
2003-10,6.203,
2004-01,5.952,
2004-04,5.686,
2004-07,5.608,
2004-10,5.054,
2005-01,4.805,
2005-04,4.204,
2005-07,4.302,
2005-10,4.727,
2006-01,4.753,
2006-04,5.533,
2006-07,6.095,
2006-10,5.971,
2007-01,5.787,
2007-04,5.829,
2007-07,6.067,
2007-10,6.571,
2008-01,7.693,
2008-04,7.681,
2008-07,7.725,
2008-10,9.799,
2009-01,9.284,
2009-04,9.110,
2009-07,9.219,
2009-10,9.909,
2010-01,8.641,
2010-04,8.278,
2010-07,7.717,
2010-10,7.461,
2011-01,7.973,
2011-04,7.775,
2011-07,7.775,
2011-10,7.951,
2012-01,7.382,
2012-04,7.753,
2012-07,7.785,
2012-10,8.019,
2013-01,7.958,
2013-04,7.910,
2013-07,8.362,
2013-10,8.334,
2014-01,9.039,
2014-04,9.760,
2014-07,10.038,
