"",BBK01.OEXI10K,BBK01.OEXI10K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:57:28,
2002-01,0.432,
2002-04,0.386,
2002-07,0.515,
2002-10,0.477,
2003-01,0.384,
2003-04,0.323,
2003-07,0.320,
2003-10,0.310,
2004-01,0.305,
2004-04,0.326,
2004-07,0.207,
2004-10,0.175,
2005-01,0.180,
2005-04,0.190,
2005-07,0.136,
2005-10,0.039,
2006-01,0.040,
2006-04,0.040,
2006-07,0.045,
2006-10,0.054,
2007-01,0.039,
2007-04,0.039,
2007-07,0.038,
2007-10,0.040,
2008-01,0.036,
2008-04,0.034,
2008-07,0.049,
2008-10,0.049,
2009-01,0.080,
2009-04,0.073,
2009-07,0.071,
2009-10,0.072,
2010-01,0.051,
2010-04,0.053,
2010-07,0.064,
2010-10,0.066,
2011-01,0.064,
2011-04,0.064,
2011-07,0.067,
2011-10,0.082,
2012-01,0.081,
2012-04,0.045,
2012-07,0.043,
2012-10,0.042,
2013-01,0.043,
2013-04,0.089,
2013-07,0.074,
2013-10,0.070,
2014-01,0.069,
2014-04,0.066,
2014-07,0.071,
