"",BBK01.CELF03,BBK01.CELF03_FLAGS
"",long-term loans                                            debtor: Total            creditor: MFI,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:48:18,
1999-01,39.7,
1999-04,36.8,
1999-07,40.1,
1999-10,49.5,
2000-01,12.0,
2000-04,28.5,
2000-07,26.5,
2000-10,27.9,
2001-01,4.7,
2001-04,10.4,
2001-07,15.0,
2001-10,18.4,
2002-01,-0.4,
2002-04,2.6,
2002-07,6.0,
2002-10,7.2,
2003-01,-4.3,
2003-04,1.7,
2003-07,8.2,
2003-10,8.1,
2004-01,-8.8,
2004-04,5.2,
2004-07,5.8,
2004-10,-4.0,
2005-01,-12.6,
2005-04,3.3,
2005-07,12.8,
2005-10,8.2,
2006-01,-11.2,
2006-04,3.5,
2006-07,11.1,
2006-10,-1.0,
2007-01,-14.2,
2007-04,9.8,
2007-07,16.8,
2007-10,12.7,
2008-01,1.1,
2008-04,36.0,
2008-07,28.7,
2008-10,12.2,
2009-01,-22.2,
2009-04,7.5,
2009-07,10.8,
2009-10,0.1,
2010-01,-15.6,
2010-04,13.9,
2010-07,6.2,
2010-10,3.8,
2011-01,-8.4,
2011-04,-3.6,
2011-07,16.9,
2011-10,13.5,
2012-01,-8.0,
2012-04,5.5,
2012-07,3.4,
2012-10,-3.3,
2013-01,-8.6,
2013-04,-1.6,
2013-07,-6.6,
2013-10,-2.0,
2014-01,-2.5,
2014-04,2.7,
2014-07,16.1,
