"",BBDA1.M.DE.N.EX.S.A.CZ.A.V.ABA.A,BBDA1.M.DE.N.EX.S.A.CZ.A.V.ABA.A_FLAGS
"","Exports / At current prices, flows / Aggregate / all goods / Czech Republic / Unadjusted figure",
unit,DM/EURO (hypothetically euro-based),
unit multiplier,thousand,
last update,2015-02-20 10:39:27,
1993-01,229344,
1993-02,304759,
1993-03,324097,
1993-04,304093,
1993-05,327909,
1993-06,341958,
1993-07,309228,
1993-08,304140,
1993-09,336012,
1993-10,348919,
1993-11,367093,
1993-12,415963,
1994-01,320213,
1994-02,347651,
1994-03,383532,
1994-04,361060,
1994-05,476168,
1994-06,478747,
1994-07,355219,
1994-08,414647,
1994-09,389695,
1994-10,448748,
1994-11,492658,
1994-12,461831,
1995-01,432769,
1995-02,433327,
1995-03,538265,
1995-04,439324,
1995-05,527591,
1995-06,515578,
1995-07,488914,
1995-08,456306,
1995-09,508015,
1995-10,569603,
1995-11,606890,
1995-12,526154,
1996-01,483682,
1996-02,528676,
1996-03,585191,
1996-04,576644,
1996-05,618629,
1996-06,596309,
1996-07,646967,
1996-08,534970,
1996-09,619054,
1996-10,672828,
1996-11,675196,
1996-12,544886,
1997-01,583979,
1997-02,620121,
1997-03,666675,
1997-04,738728,
1997-05,672472,
1997-06,786271,
1997-07,737904,
1997-08,611351,
1997-09,790370,
1997-10,782015,
1997-11,744504,
1997-12,701503,
1998-01,645486,
1998-02,718401,
1998-03,824013,
1998-04,780038,
1998-05,825238,
1998-06,832587,
1998-07,844839,
1998-08,706483,
1998-09,826684,
1998-10,878570,
1998-11,900305,
1998-12,800726,
1999-01,657203,
1999-02,731041,
1999-03,894181,
1999-04,806359,
1999-05,726179,
1999-06,918503,
1999-07,863892,
1999-08,712002,
1999-09,873707,
1999-10,931711,
1999-11,1004085,
1999-12,918746,
2000-01,804878,
2000-02,930264,
2000-03,1059032,
2000-04,883700,
2000-05,1130562,
2000-06,1071946,
2000-07,1029597,
2000-08,1107519,
2000-09,1075047,
2000-10,1260741,
2000-11,1309058,
2000-12,1134664,
2001-01,1118911,
2001-02,1187800,
2001-03,1349676,
2001-04,1178900,
2001-05,1337346,
2001-06,1269996,
2001-07,1231728,
2001-08,1233975,
2001-09,1155094,
2001-10,1404176,
2001-11,1382936,
2001-12,1089259,
2002-01,1151301,
2002-02,1271325,
2002-03,1314390,
2002-04,1340710,
2002-05,1355469,
2002-06,1375162,
2002-07,1403308,
2002-08,1251192,
2002-09,1412418,
2002-10,1478570,
2002-11,1444125,
2002-12,1211640,
2003-01,1323850,
2003-02,1341313,
2003-03,1302246,
2003-04,1361458,
2003-05,1421478,
2003-06,1498757,
2003-07,1469793,
2003-08,1329831,
2003-09,1480069,
2003-10,1421117,
2003-11,1458604,
2003-12,1376308,
2004-01,1366857,
2004-02,1418294,
2004-03,1673961,
2004-04,1622392,
2004-05,1590342,
2004-06,1449268,
2004-07,1320363,
2004-08,1390457,
2004-09,1433766,
2004-10,1480410,
2004-11,1645373,
2004-12,1374098,
2005-01,1475434,
2005-02,1433938,
2005-03,1581996,
2005-04,1600441,
2005-05,1651964,
2005-06,1599799,
2005-07,1451369,
2005-08,1570093,
2005-09,1611045,
2005-10,1655171,
2005-11,1799209,
2005-12,1730274,
2006-01,1715224,
2006-02,1678511,
2006-03,1931034,
2006-04,1879743,
2006-05,1872304,
2006-06,1960360,
2006-07,1742390,
2006-08,1807547,
2006-09,1909047,
2006-10,2088987,
2006-11,2072296,
2006-12,1840721,
2007-01,2083158,
2007-02,1990878,
2007-03,2304649,
2007-04,2184849,
2007-05,2087990,
2007-06,2158702,
2007-07,2087417,
2007-08,2143865,
2007-09,2209933,
2007-10,2540905,
2007-11,2379678,
2007-12,1922712,
2008-01,2281229,
2008-02,2365853,
2008-03,2426459,
2008-04,2592357,
2008-05,2301667,
2008-06,2385475,
2008-07,2361677,
2008-08,2131977,
2008-09,2443268,
2008-10,2459674,
2008-11,2133771,
2008-12,1717205,
2009-01,1740275,
2009-02,1582227,
2009-03,1776039,
2009-04,1807958,
2009-05,1705132,
2009-06,1831132,
2009-07,1802842,
2009-08,1778239,
2009-09,2139219,
2009-10,2099896,
2009-11,2017893,
2009-12,1751160,
2010-01,1808637,
2010-02,1835253,
2010-03,2310518,
2010-04,2054560,
2010-05,2113815,
2010-06,2365770,
2010-07,2043368,
2010-08,2195283,
2010-09,2516116,
2010-10,2604625,
2010-11,2616947,
2010-12,2243353,
2011-01,2325113,
2011-02,2397935,
2011-03,2781768,
2011-04,2543475,
2011-05,2671608,
2011-06,2686643,
2011-07,2361527,
2011-08,2562707,
2011-09,2695996,
2011-10,2650216,
2011-11,2785632,
2011-12,2361863,
2012-01,2502284,
2012-02,2716755,
2012-03,2820362,
2012-04,2617357,
2012-05,2605445,
2012-06,2651302,
2012-07,2484151,
2012-08,2631253,
2012-09,2653606,
2012-10,2933343,
2012-11,2666000,
2012-12,2006858,
2013-01,2521884,
2013-02,2501299,
2013-03,2592967,
2013-04,2584602,
2013-05,2455059,
2013-06,2616903,
2013-07,2489154,
2013-08,2570163,
2013-09,2706456,
2013-10,2991853,
2013-11,2840292,
2013-12,2202723,
2014-01,2881569,
2014-02,2693345,
2014-03,2743910,
2014-04,2864840,
2014-05,2695513,
2014-06,2876089,
2014-07,2867085,
2014-08,2499941,
2014-09,2975347,
2014-10,3034226,
2014-11,2888676,
2014-12,2488717,
