"",BBK01.OEAC48G,BBK01.OEAC48G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:41,
2002-01,3.677,
2002-04,3.538,
2002-07,3.518,
2002-10,3.545,
2003-01,3.430,
2003-04,3.279,
2003-07,3.340,
2003-10,3.281,
2004-01,3.290,
2004-04,3.190,
2004-07,3.140,
2004-10,3.150,
2005-01,3.328,
2005-04,3.671,
2005-07,3.676,
2005-10,3.758,
2006-01,3.775,
2006-04,3.831,
2006-07,3.935,
2006-10,3.968,
2007-01,3.992,
2007-04,3.986,
2007-07,3.527,
2007-10,3.539,
2008-01,3.621,
2008-04,4.414,
2008-07,4.570,
2008-10,6.264,
2009-01,6.702,
2009-04,7.195,
2009-07,7.131,
2009-10,7.370,
2010-01,7.193,
2010-04,6.678,
2010-07,6.823,
2010-10,7.085,
2011-01,7.128,
2011-04,7.120,
2011-07,7.294,
2011-10,7.544,
2012-01,7.625,
2012-04,7.545,
2012-07,7.673,
2012-10,7.775,
2013-01,7.957,
2013-04,8.106,
2013-07,8.056,
2013-10,8.362,
2014-01,8.270,
2014-04,8.380,
2014-07,8.410,
