"",BBSF2.M.1.P.00000.TOT01.I.F.WPS.JP.00000.000000.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.WPS.JP.00000.000000.Z01.00_FLAGS
"",Public funds / Funds total / Securities total / Japan,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:32,
2009-09,3795,
2009-10,3658,
2009-11,3581,
2009-12,3796,
2010-01,4304,
2010-02,4565,
2010-03,4953,
2010-04,4943,
2010-05,4816,
2010-06,4519,
2010-07,4290,
2010-08,4192,
2010-09,4055,
2010-10,4051,
2010-11,4408,
2010-12,4779,
2011-01,4812,
2011-02,5270,
2011-03,4157,
2011-04,3837,
2011-05,3785,
2011-06,3687,
2011-07,3900,
2011-08,3565,
2011-09,3624,
2011-10,3511,
2011-11,3415,
2011-12,3418,
2012-01,3513,
2012-02,3483,
2012-03,3395,
2012-04,3375,
2012-05,3358,
2012-06,3330,
2012-07,3316,
2012-08,3236,
2012-09,3064,
2012-10,2970,
2012-11,2943,
2012-12,2984,
2013-01,2932,
2013-02,3192,
2013-03,3539,
2013-04,3873,
2013-05,3663,
2013-06,3799,
2013-07,3784,
2013-08,3646,
2013-09,3867,
2013-10,3680,
2013-11,3855,
2013-12,3880,
2014-01,3780,
2014-02,3661,
2014-03,3477,
2014-04,3465,
2014-05,3718,
2014-06,3881,
2014-07,3935,
2014-08,3864,
2014-09,4001,
2014-10,3915,
2014-11,3935,
