"",BBK01.OEHO06H,BBK01.OEHO06H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:12:54,
2002-01,50.496,
2002-04,49.980,
2002-07,49.681,
2002-10,51.096,
2003-01,50.933,
2003-04,50.544,
2003-07,50.333,
2003-10,51.579,
2004-01,51.413,
2004-04,51.107,
2004-07,51.017,
2004-10,52.213,
2005-01,52.062,
2005-04,51.528,
2005-07,51.180,
2005-10,52.023,
2006-01,51.629,
2006-04,51.124,
2006-07,50.426,
2006-10,50.509,
2007-01,48.975,
2007-04,47.642,
2007-07,46.474,
2007-10,46.188,
2008-01,44.532,
2008-04,42.994,
2008-07,41.432,
2008-10,41.336,
2009-01,42.384,
2009-04,43.722,
2009-07,44.802,
2009-10,46.710,
2010-01,47.875,
2010-04,48.465,
2010-07,48.947,
2010-10,49.909,
2011-01,50.233,
2011-04,50.129,
2011-07,49.691,
2011-10,49.922,
2012-01,49.629,
2012-04,49.457,
2012-07,49.448,
2012-10,49.837,
2013-01,49.798,
2013-04,49.328,
2013-07,48.694,
2013-10,49.004,
2014-01,48.693,
2014-04,48.301,
2014-07,47.823,
