"",BBFN1.M.DE.N.1.A.SI.S1P.H1.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.SI.S1P.H1.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from credit terms granted / Total / Slovenia,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:12:57,
1994-07,0.219,
1994-08,0.244,
1994-09,0.259,
1994-10,0.251,
1994-11,0.250,
1994-12,0.252,
1995-01,0.247,
1995-02,0.261,
1995-03,0.272,
1995-04,0.279,
1995-05,0.285,
1995-06,0.271,
1995-07,0.256,
1995-08,0.256,
1995-09,0.270,
1995-10,0.260,
1995-11,0.260,
1995-12,0.247,
1996-01,0.236,
1996-02,0.241,
1996-03,0.248,
1996-04,0.255,
1996-05,0.270,
1996-06,0.284,
1996-07,0.277,
1996-08,0.280,
1996-09,0.286,
1996-10,0.268,
1996-11,0.243,
1996-12,0.228,
1997-01,0.219,
1997-02,0.221,
1997-03,0.242,
1997-04,0.258,
1997-05,0.271,
1997-06,0.284,
1997-07,0.285,
1997-08,0.280,
1997-09,0.280,
1997-10,0.291,
1997-11,0.292,
1997-12,0.276,
1998-01,0.273,
1998-02,0.293,
1998-03,0.308,
1998-04,0.314,
1998-05,0.323,
1998-06,0.320,
1998-07,0.298,
1998-08,0.302,
1998-09,0.289,
1998-10,0.288,
1998-11,0.292,
1998-12,0.271,
1999-01,0.272,
1999-02,0.278,
1999-03,0.299,
1999-04,0.313,
1999-05,0.317,
1999-06,0.320,
1999-07,0.294,
1999-08,0.278,
1999-09,0.306,
1999-10,0.325,
1999-11,0.317,
1999-12,0.296,
2000-01,0.309,
2000-02,0.328,
2000-03,0.329,
2000-04,0.339,
2000-05,0.343,
2000-06,0.335,
2000-07,0.343,
2000-08,0.349,
2000-09,0.351,
2000-10,0.365,
2000-11,0.360,
2000-12,0.324,
2001-01,0.331,
2001-02,0.338,
2001-03,0.345,
2001-04,0.323,
2001-05,0.323,
2001-06,0.325,
2001-07,0.327,
2001-08,0.313,
2001-09,0.336,
2001-10,0.334,
2001-11,0.328,
2001-12,0.319,
2002-01,0.323,
2002-02,0.340,
2002-03,0.337,
2002-04,0.335,
2002-05,0.322,
2002-06,0.314,
2002-07,0.308,
2002-08,0.302,
2002-09,0.303,
2002-10,0.305,
2002-11,0.310,
2002-12,0.295,
2003-01,0.286,
2003-02,0.286,
2003-03,0.300,
2003-04,0.293,
2003-05,0.289,
2003-06,0.294,
2003-07,0.291,
2003-08,0.290,
2003-09,0.293,
2003-10,0.298,
2003-11,0.303,
2003-12,0.282,
2004-01,0.276,
2004-02,0.281,
2004-03,0.304,
2004-04,0.294,
2004-05,0.302,
2004-06,0.306,
2004-07,0.306,
2004-08,0.299,
2004-09,0.308,
2004-10,0.310,
2004-11,0.310,
2004-12,0.290,
2005-01,0.274,
2005-02,0.286,
2005-03,0.301,
2005-04,0.312,
2005-05,0.297,
2005-06,0.307,
2005-07,0.296,
2005-08,0.295,
2005-09,0.294,
2005-10,0.301,
2005-11,0.334,
2005-12,0.303,
2006-01,0.297,
2006-02,0.304,
2006-03,0.318,
2006-04,0.311,
2006-05,0.323,
2006-06,0.341,
2006-07,0.336,
2006-08,0.333,
2006-09,0.362,
2006-10,0.374,
2006-11,0.373,
2006-12,0.346,
2007-01,0.348,
2007-02,0.371,
2007-03,0.381,
2007-04,0.398,
2007-05,0.415,
2007-06,0.427,
2007-07,0.420,
2007-08,0.413,
2007-09,0.438,
2007-10,0.426,
2007-11,0.437,
2007-12,0.420,
2008-01,0.412,
2008-02,0.420,
2008-03,0.443,
2008-04,0.461,
2008-05,0.470,
2008-06,0.476,
2008-07,0.464,
2008-08,0.470,
2008-09,0.478,
2008-10,0.469,
2008-11,0.449,
2008-12,0.404,
2009-01,0.390,
2009-02,0.388,
2009-03,0.384,
2009-04,0.370,
2009-05,0.359,
2009-06,0.381,
2009-07,0.365,
2009-08,0.358,
2009-09,0.368,
2009-10,0.374,
2009-11,0.373,
2009-12,0.343,
2010-01,0.343,
2010-02,0.363,
2010-03,0.391,
2010-04,0.395,
2010-05,0.402,
2010-06,0.408,
2010-07,0.400,
2010-08,0.380,
2010-09,0.380,
2010-10,0.394,
2010-11,0.396,
2010-12,0.365,
2011-01,0.392,
2011-02,0.424,
2011-03,0.440,
2011-04,0.446,
2011-05,0.447,
2011-06,0.457,
2011-07,0.438,
2011-08,0.406,
2011-09,0.440,
2011-10,0.422,
2011-11,0.433,
2011-12,0.388,
2012-01,0.401,
2012-02,0.420,
2012-03,0.455,
2012-04,0.455,
2012-05,0.467,
2012-06,0.477,
2012-07,0.461,
2012-08,0.427,
2012-09,0.444,
2012-10,0.443,
2012-11,0.471,
2012-12,0.438,
2013-01,0.434,
2013-02,0.457,
2013-03,0.484,
2013-04,0.456,
2013-05,0.450,
2013-06,0.466,
2013-07,0.443,
2013-08,0.446,
2013-09,0.457,
2013-10,0.456,
2013-11,0.457,
2013-12,0.421,
2014-01,0.428,
2014-02,0.456,
2014-03,0.489,
2014-04,0.477,
2014-05,0.444,
2014-06,0.434,
2014-07,0.425,
2014-08,0.428,
2014-09,0.456,
2014-10,0.452,
2014-11,0.476,
2014-12,0.439,
