"",BBK01.OEHO06Q,BBK01.OEHO06Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:06,
2002-01,8.368,
2002-04,8.279,
2002-07,8.230,
2002-10,8.365,
2003-01,8.301,
2003-04,8.157,
2003-07,8.079,
2003-10,8.145,
2004-01,8.062,
2004-04,7.982,
2004-07,7.951,
2004-10,8.049,
2005-01,8.033,
2005-04,7.986,
2005-07,7.939,
2005-10,7.990,
2006-01,7.887,
2006-04,7.798,
2006-07,7.686,
2006-10,7.644,
2007-01,7.488,
2007-04,7.355,
2007-07,7.281,
2007-10,7.396,
2008-01,7.304,
2008-04,7.263,
2008-07,7.225,
2008-10,7.509,
2009-01,7.547,
2009-04,7.479,
2009-07,7.377,
2009-10,7.445,
2010-01,7.438,
2010-04,7.428,
2010-07,7.465,
2010-10,7.572,
2011-01,7.626,
2011-04,7.695,
2011-07,7.723,
2011-10,7.964,
2012-01,8.082,
2012-04,8.153,
2012-07,8.140,
2012-10,8.106,
2013-01,8.078,
2013-04,8.103,
2013-07,8.037,
2013-10,8.111,
2014-01,8.124,
2014-04,8.012,
2014-07,7.885,
