"",BBK01.OECL05I,BBK01.OECL05I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:45,
2002-01,0.023,
2002-04,0.021,
2002-07,0.019,
2002-10,0.017,
2003-01,0.018,
2003-04,0.016,
2003-07,0.015,
2003-10,0.015,
2004-01,0.011,
2004-04,0.011,
2004-07,0.010,
2004-10,0.010,
2005-01,0.223,
2005-04,0.219,
2005-07,0.211,
2005-10,0.203,
2006-01,0.198,
2006-04,0.193,
2006-07,0.190,
2006-10,0.185,
2007-01,0.176,
2007-04,0.173,
2007-07,0.172,
2007-10,0.168,
2008-01,0.161,
2008-04,0.155,
2008-07,0.148,
2008-10,0.157,
2009-01,0.155,
2009-04,0.157,
2009-07,0.174,
2009-10,0.180,
2010-01,0.186,
2010-04,0.184,
2010-07,0.180,
2010-10,0.171,
2011-01,0.168,
2011-04,0.149,
2011-07,0.138,
2011-10,0.133,
2012-01,0.128,
2012-04,0.123,
2012-07,0.117,
2012-10,0.110,
2013-01,0.102,
2013-04,0.101,
2013-07,0.097,
2013-10,0.089,
2014-01,0.077,
2014-04,0.075,
2014-07,0.068,
