"",BBK01.OEHO03N,BBK01.OEHO03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:23,
2002-01,8.346,
2002-04,6.906,
2002-07,6.729,
2002-10,6.607,
2003-01,7.469,
2003-04,6.529,
2003-07,6.869,
2003-10,7.058,
2004-01,7.764,
2004-04,6.086,
2004-07,6.310,
2004-10,6.434,
2005-01,6.924,
2005-04,6.333,
2005-07,6.090,
2005-10,6.449,
2006-01,7.880,
2006-04,6.962,
2006-07,7.333,
2006-10,8.343,
2007-01,9.817,
2007-04,8.145,
2007-07,7.970,
2007-10,7.892,
2008-01,8.408,
2008-04,6.919,
2008-07,7.580,
2008-10,7.544,
2009-01,6.597,
2009-04,5.680,
2009-07,5.922,
2009-10,6.043,
2010-01,5.872,
2010-04,4.964,
2010-07,5.121,
2010-10,5.233,
2011-01,6.062,
2011-04,5.596,
2011-07,5.936,
2011-10,5.728,
2012-01,5.971,
2012-04,5.219,
2012-07,5.258,
2012-10,5.363,
2013-01,5.466,
2013-04,4.906,
2013-07,4.895,
2013-10,4.856,
2014-01,5.135,
2014-04,4.883,
2014-07,4.691,
