"",BBK01.OEAE08P,BBK01.OEAE08P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:06,
2002-01,0.209,
2002-04,0.214,
2002-07,0.192,
2002-10,0.194,
2003-01,0.205,
2003-04,0.198,
2003-07,0.140,
2003-10,0.134,
2004-01,0.134,
2004-04,0.166,
2004-07,0.175,
2004-10,0.182,
2005-01,0.198,
2005-04,0.204,
2005-07,0.171,
2005-10,0.202,
2006-01,0.209,
2006-04,0.228,
2006-07,0.217,
2006-10,0.241,
2007-01,0.255,
2007-04,0.214,
2007-07,0.268,
2007-10,0.259,
2008-01,0.275,
2008-04,0.287,
2008-07,0.295,
2008-10,0.280,
2009-01,0.220,
2009-04,0.208,
2009-07,0.161,
2009-10,0.118,
2010-01,0.118,
2010-04,0.118,
2010-07,0.111,
2010-10,0.104,
2011-01,0.065,
2011-04,0.065,
2011-07,0.057,
2011-10,0.055,
2012-01,0.052,
2012-04,0.057,
2012-07,0.057,
2012-10,0.054,
2013-01,0.053,
2013-04,0.053,
2013-07,0.047,
2013-10,0.047,
2014-01,0.046,
2014-04,0.050,
2014-07,0.049,
