"",BBK01.OEAD26P,BBK01.OEAD26P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:06,
2002-01,0.018,
2002-04,0.016,
2002-07,0.016,
2002-10,0.019,
2003-01,0.017,
2003-04,0.026,
2003-07,0.039,
2003-10,0.038,
2004-01,0.036,
2004-04,0.038,
2004-07,0.025,
2004-10,0.025,
2005-01,0.022,
2005-04,0.020,
2005-07,0.022,
2005-10,0.018,
2006-01,0.016,
2006-04,0.017,
2006-07,0.019,
2006-10,0.015,
2007-01,0.014,
2007-04,0.017,
2007-07,0.017,
2007-10,0.038,
2008-01,0.036,
2008-04,0.035,
2008-07,0.058,
2008-10,0.056,
2009-01,0.059,
2009-04,0.081,
2009-07,0.077,
2009-10,0.079,
2010-01,0.072,
2010-04,0.058,
2010-07,0.060,
2010-10,0.039,
2011-01,0.045,
2011-04,0.059,
2011-07,0.049,
2011-10,0.050,
2012-01,0.062,
2012-04,0.071,
2012-07,0.060,
2012-10,0.073,
2013-01,0.069,
2013-04,0.074,
2013-07,0.076,
2013-10,0.090,
2014-01,0.073,
2014-04,0.074,
2014-07,0.078,
