"",BBK01.CEFN0N,BBK01.CEFN0N_FLAGS
"",Transferable deposits                                                     debtor: Total           creditor: Rest of the world,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:37:11,
1999-01,143.5,
1999-04,146.3,
1999-07,129.2,
1999-10,95.6,
2000-01,164.9,
2000-04,166.3,
2000-07,178.6,
2000-10,155.8,
2001-01,212.0,
2001-04,204.0,
2001-07,190.0,
2001-10,134.7,
2002-01,178.7,
2002-04,198.1,
2002-07,208.0,
2002-10,173.2,
2003-01,219.0,
2003-04,234.7,
2003-07,237.3,
2003-10,182.3,
2004-01,258.1,
2004-04,252.9,
2004-07,262.0,
2004-10,194.9,
2005-01,291.8,
2005-04,305.3,
2005-07,299.1,
2005-10,246.4,
2006-01,310.3,
2006-04,341.3,
2006-07,347.3,
2006-10,339.4,
2007-01,383.2,
2007-04,416.1,
2007-07,418.9,
2007-10,356.3,
2008-01,458.7,
2008-04,462.6,
2008-07,498.1,
2008-10,443.9,
2009-01,518.5,
2009-04,501.8,
2009-07,467.2,
2009-10,448.4,
2010-01,531.5,
2010-04,605.5,
2010-07,566.2,
2010-10,517.1,
2011-01,518.9,
2011-04,530.9,
2011-07,601.0,
2011-10,552.9,
2012-01,676.7,
2012-04,735.4,
2012-07,780.1,
2012-10,703.8,
2013-01,679.5,
2013-04,674.3,
2013-07,681.3,
2013-10,623.3,
2014-01,660.9,
2014-04,707.9,
2014-07,705.5,
