"",BBK01.OEAA51K,BBK01.OEAA51K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:13,
2002-01,3.654,
2002-04,3.359,
2002-07,3.245,
2002-10,2.970,
2003-01,2.908,
2003-04,3.127,
2003-07,3.191,
2003-10,3.039,
2004-01,3.336,
2004-04,3.146,
2004-07,3.538,
2004-10,3.333,
2005-01,2.875,
2005-04,2.364,
2005-07,2.308,
2005-10,2.459,
2006-01,2.807,
2006-04,3.017,
2006-07,3.618,
2006-10,2.886,
2007-01,3.129,
2007-04,3.917,
2007-07,4.386,
2007-10,4.243,
2008-01,6.372,
2008-04,4.615,
2008-07,5.058,
2008-10,4.848,
2009-01,5.054,
2009-04,3.902,
2009-07,3.683,
2009-10,3.693,
2010-01,3.911,
2010-04,4.113,
2010-07,5.394,
2010-10,4.802,
2011-01,4.426,
2011-04,4.238,
2011-07,4.694,
2011-10,4.476,
2012-01,4.086,
2012-04,4.368,
2012-07,4.191,
2012-10,3.255,
2013-01,3.455,
2013-04,3.622,
2013-07,3.652,
2013-10,3.218,
2014-01,3.037,
2014-04,3.308,
2014-07,3.383,
