"",BBK01.OEAI04G,BBK01.OEAI04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:51:23,
2002-01,46.376,
2002-04,46.828,
2002-07,48.808,
2002-10,47.180,
2003-01,45.137,
2003-04,43.562,
2003-07,42.957,
2003-10,42.850,
2004-01,40.458,
2004-04,37.458,
2004-07,35.614,
2004-10,37.335,
2005-01,31.648,
2005-04,32.631,
2005-07,32.042,
2005-10,37.228,
2006-01,37.401,
2006-04,35.880,
2006-07,39.509,
2006-10,42.481,
2007-01,44.307,
2007-04,49.592,
2007-07,55.345,
2007-10,62.982,
2008-01,66.118,
2008-04,74.762,
2008-07,91.456,
2008-10,89.445,
2009-01,83.168,
2009-04,74.446,
2009-07,66.623,
2009-10,67.264,
2010-01,53.408,
2010-04,53.648,
2010-07,59.966,
2010-10,54.685,
2011-01,60.876,
2011-04,59.135,
2011-07,57.716,
2011-10,57.662,
2012-01,55.120,
2012-04,56.393,
2012-07,53.989,
2012-10,52.784,
2013-01,46.219,
2013-04,38.573,
2013-07,35.333,
2013-10,38.035,
2014-01,36.308,
2014-04,38.054,
2014-07,39.965,
