"",BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.O.F2.T._T.N.N,BBFI1.Q.N.DE.W1.S12T.S1.LE.L.FA.O.F2.T._T.N.N_FLAGS
"",IIP - Other Investment - Currency and deposits - Liabilities - Positions - Monetary financial institutions other than central bank - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 16:05:33,
1999-10,777352,
2000-01,-,Nothing exists
2000-04,-,Nothing exists
2000-07,-,Nothing exists
2000-10,902641,
2001-01,-,Nothing exists
2001-04,-,Nothing exists
2001-07,-,Nothing exists
2001-10,975260,
2002-01,-,Nothing exists
2002-04,-,Nothing exists
2002-07,-,Nothing exists
2002-10,935017,
2003-01,-,Nothing exists
2003-04,-,Nothing exists
2003-07,-,Nothing exists
2003-10,899771,
2004-01,968053,
2004-04,915647,
2004-07,937014,
2004-10,916267,
2005-01,991649,
2005-04,992239,
2005-07,992775,
2005-10,970068,
2006-01,1022522,
2006-04,1012283,
2006-07,1025127,
2006-10,1001876,
2007-01,1037237,
2007-04,1059382,
2007-07,1101558,
2007-10,1044817,
2008-01,1122426,
2008-04,1086347,
2008-07,1141996,
2008-10,993219,
2009-01,982603,
2009-04,962340,
2009-07,906840,
2009-10,873480,
2010-01,942484,
2010-04,1039970,
2010-07,1016359,
2010-10,973504,
2011-01,920532,
2011-04,887603,
2011-07,992947,
2011-10,885243,
2012-01,1129448,
2012-04,1089615,
2012-07,1070060,
2012-10,933155,
2013-01,929285,
2013-04,909420,
2013-07,853327,
2013-10,778664,
2014-01,811254,
2014-04,817554,
2014-07,863242,
