"",BBSF2.M.1.P.00000.AKT01.I.F.GMP.DE.00000.F33100.Z01.B1,BBSF2.M.1.P.00000.AKT01.I.F.GMP.DE.00000.F33100.Z01.B1_FLAGS
"",Public funds / Equity funds / Short-term debt securities / Germany,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:40:10,
2009-09,103,
2009-10,96,
2009-11,97,
2009-12,10,
2010-01,5,
2010-02,9,
2010-03,14,
2010-04,18,
2010-05,17,
2010-06,24,
2010-07,23,
2010-08,20,
2010-09,21,
2010-10,19,
2010-11,21,
2010-12,24,
2011-01,24,
2011-02,117,
2011-03,114,
2011-04,120,
2011-05,117,
2011-06,127,
2011-07,128,
2011-08,73,
2011-09,82,
2011-10,95,
2011-11,86,
2011-12,27,
2012-01,56,
2012-02,35,
2012-03,33,
2012-04,33,
2012-05,31,
2012-06,27,
2012-07,29,
2012-08,29,
2012-09,39,
2012-10,40,
2012-11,40,
2012-12,38,
2013-01,19,
2013-02,20,
2013-03,21,
2013-04,21,
2013-05,19,
2013-06,17,
2013-07,10,
2013-08,2,
2013-09,10,
2013-10,15,
2013-11,14,
2013-12,89,
2014-01,126,
2014-02,131,
2014-03,132,
2014-04,134,
2014-05,139,
2014-06,136,
2014-07,138,
2014-08,134,
2014-09,137,
2014-10,136,
2014-11,148,
