"",BBK01.OEHB03M,BBK01.OEHB03M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:56,
2002-01,2.963,
2002-04,2.935,
2002-07,2.917,
2002-10,2.891,
2003-01,2.867,
2003-04,2.849,
2003-07,2.835,
2003-10,2.784,
2004-01,2.732,
2004-04,2.692,
2004-07,2.661,
2004-10,2.672,
2005-01,2.547,
2005-04,2.590,
2005-07,2.619,
2005-10,2.586,
2006-01,2.590,
2006-04,2.573,
2006-07,2.529,
2006-10,2.562,
2007-01,2.559,
2007-04,2.541,
2007-07,2.625,
2007-10,2.598,
2008-01,2.644,
2008-04,2.694,
2008-07,2.702,
2008-10,2.614,
2009-01,2.652,
2009-04,2.585,
2009-07,2.563,
2009-10,2.543,
2010-01,2.589,
2010-04,2.735,
2010-07,2.804,
2010-10,2.854,
2011-01,2.878,
2011-04,2.924,
2011-07,3.034,
2011-10,3.085,
2012-01,3.158,
2012-04,3.216,
2012-07,3.296,
2012-10,3.332,
2013-01,3.346,
2013-04,3.363,
2013-07,3.374,
2013-10,3.449,
2014-01,3.440,
2014-04,3.492,
2014-07,3.508,
