"",BBK01.OECB08Q,BBK01.OECB08Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:36:27,
2002-01,5.169,
2002-04,5.233,
2002-07,5.284,
2002-10,5.338,
2003-01,5.284,
2003-04,5.283,
2003-07,5.458,
2003-10,5.468,
2004-01,5.420,
2004-04,5.412,
2004-07,5.308,
2004-10,6.606,
2005-01,7.773,
2005-04,7.600,
2005-07,7.555,
2005-10,7.488,
2006-01,7.491,
2006-04,7.436,
2006-07,7.428,
2006-10,7.606,
2007-01,7.479,
2007-04,7.511,
2007-07,7.431,
2007-10,7.381,
2008-01,7.254,
2008-04,7.266,
2008-07,7.135,
2008-10,7.129,
2009-01,7.041,
2009-04,8.424,
2009-07,8.294,
2009-10,8.310,
2010-01,8.158,
2010-04,8.063,
2010-07,8.275,
2010-10,8.227,
2011-01,7.916,
2011-04,7.885,
2011-07,7.787,
2011-10,7.790,
2012-01,7.707,
2012-04,7.683,
2012-07,7.802,
2012-10,7.757,
2013-01,7.749,
2013-04,7.721,
2013-07,7.716,
2013-10,7.771,
2014-01,7.853,
2014-04,7.920,
2014-07,8.033,
