"",BBEX3.M.CRC.USD.CA.AB.A01,BBEX3.M.CRC.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Costa Rica / USD 1 = CRC ... (selling),
unit,CRC (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:16:51,
1991-01,107.05,comment
1991-02,111.85,
1991-03,116.50,
1991-04,119.50,
1991-05,122.25,
1991-06,124.75,
1991-07,127.25,
1991-08,129.75,
1991-09,131.55,
1991-10,133.55,
1991-11,135.15,
1991-12,136.75,
1992-01,138.65,
1992-02,138.65,
1992-03,133.64,
1992-04,131.25,
1992-05,128.68,
1992-06,134.98,comment
1992-07,134.64,
1992-08,136.00,
1992-09,136.55,
1992-10,137.04,
1992-11,137.45,
1992-12,137.06,
1993-01,139.12,
1993-02,138.90,
1993-03,138.85,
1993-04,138.85,
1993-05,138.83,
1993-06,141.18,
1993-07,142.75,
1993-08,144.61,
1993-09,146.50,
1993-10,148.30,
1993-11,150.35,
1993-12,152.17,
1994-01,153.08,
1994-02,153.59,
1994-03,154.49,
1994-04,154.85,
1994-05,155.62,
1994-06,156.66,
1994-07,157.81,
1994-08,159.19,
1994-09,160.51,
1994-10,162.27,
1994-11,164.07,
1994-12,165.63,
1995-01,167.68,
1995-02,169.99,
1995-03,172.72,
1995-04,174.79,
1995-05,177.52,
1995-06,179.99,
1995-07,182.11,
1995-08,184.94,
1995-09,187.49,
1995-10,190.16,
1995-11,193.06,
1995-12,195.37,
1996-01,197.73,
1996-02,199.86,
1996-03,201.83,
1996-04,203.52,comment
1996-05,205.80,
1996-06,207.60,
1996-07,209.80,
1996-08,211.78,
1996-09,213.94,
1996-10,216.23,
1996-11,218.32,
1996-12,220.19,
1997-01,222.82,
1997-02,224.48,
1997-03,226.41,
1997-04,228.60,
1997-05,230.80,
1997-06,233.07,
1997-07,235.05,
1997-08,236.76,
1997-09,238.77,
1997-10,240.77,
1997-11,242.58,
1997-12,244.53,
1998-01,246.32,
1998-02,248.22,
1998-03,250.32,
1998-04,252.35,
1998-05,254.38,
1998-06,256.85,
1998-07,259.40,
1998-08,261.69,
1998-09,264.07,
1998-10,266.58,
1998-11,269.17,
1998-12,271.81,
1999-01,273.95,
1999-02,276.30,
1999-03,279.08,
1999-04,281.50,
1999-05,283.99,
1999-06,286.64,
1999-07,288.78,
1999-08,290.85,
1999-09,292.62,
1999-10,294.36,
1999-11,296.42,
1999-12,298.36,comment
2000-01,299.97,
2000-02,301.48,comment
2000-03,303.55,
2000-04,304.87,
2000-05,306.63,
2000-06,308.42,
2000-07,310.00,
2000-08,311.74,
2000-09,313.30,
2000-10,315.01,
2000-11,316.85,
2000-12,318.30,
2001-01,320.02,
2001-02,321.57,
2001-03,323.33,
2001-04,324.71,
2001-05,326.64,
2001-06,328.28,
2001-07,330.38,
2001-08,332.36,
2001-09,334.40,
2001-10,336.96,
2001-11,339.56,
2001-12,341.94,
2002-01,344.79,
2002-02,347.57,
2002-03,350.39,
2002-04,353.46,
2002-05,356.74,
2002-06,359.77,
2002-07,363.08,
2002-08,366.02,
2002-09,369.12,
2002-10,372.54,
2002-11,375.77,
2002-12,378.75,
2003-01,382.33,
2003-02,385.55,
2003-03,388.83,
2003-04,391.99,
2003-05,395.25,
2003-06,398.59,
2003-07,402.22,
2003-08,405.47,
2003-09,408.88,
2003-10,412.54,
2003-11,415.90,
2003-12,419.01,
2004-01,422.14,
2004-02,425.21,
2004-03,428.50,
2004-04,431.58,
2004-05,434.73,
2004-06,438.01,
2004-07,441.21,
2004-08,444.90,
2004-09,448.32,
2004-10,451.78,
2004-11,455.58,
2004-12,459.64,
2005-01,462.48,
2005-02,465.83,
2005-03,468.87,
2005-04,472.09,
2005-05,475.19,
2005-06,478.68,
2005-07,481.63,
2005-08,484.74,
2005-09,487.96,
2005-10,490.93,
2005-11,494.29,
2005-12,497.71,
2006-01,500.65,
2006-02,503.17,
2006-03,506.03,
2006-04,508.58,
2006-05,511.30,
2006-06,514.06,
2006-07,516.70,
2006-08,519.34,
2006-09,521.68,
2006-10,519.63,
2006-11,518.78,
2006-12,519.69,
2007-01,521.05,
2007-02,520.97,
2007-03,520.71,
2007-04,520.68,
2007-05,520.76,
2007-06,520.72,
2007-07,520.68,
2007-08,520.75,
2007-09,520.69,
2007-10,521.16,
2007-11,502.25,
2007-12,500.97,
2008-01,499.74,
2008-02,499.00,
2008-03,497.00,
2008-04,497.21,
2008-05,522.88,
2008-06,522.76,
2008-07,556.64,
2008-08,556.72,
2008-09,559.26,
2008-10,560.51,
2008-11,550.75,
2008-12,560.85,
2009-01,564.84,
2009-02,569.94,
2009-03,568.35,
2009-04,577.90,
2009-05,581.58,
2009-06,579.91,
2009-07,590.94,
2009-08,593.74,
2009-09,591.73,
2009-10,586.31,
2009-11,559.27,
2009-12,571.81,
2010-01,565.11,
2010-02,558.45,
2010-03,528.78,
2010-04,516.04,
2010-05,545.72,
2010-06,540.24,
2010-07,522.71,
2010-08,514.28,
2010-09,512.94,
2010-10,519.18,
2010-11,512.20,
2010-12,518.09,
2011-01,510.69,
2011-02,507.61,
2011-03,506.16,
2011-04,506.44,
2011-05,511.15,
2011-06,509.57,
2011-07,510.88,
2011-08,516.77,
2011-09,519.87,
2011-10,521.11,
2011-11,512.10,
2011-12,518.33,
2012-01,514.91,
2012-02,516.94,
2012-03,513.58,
2012-04,509.59,
2012-05,507.30,
2012-06,503.85,
2012-07,505.98,
2012-08,503.22,
2012-09,503.31,
2012-10,503.24,
2012-11,503.17,
