"",BBK01.OEAC08S,BBK01.OEAC08S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:23,
2002-01,0.113,
2002-04,0.115,
2002-07,0.119,
2002-10,0.104,
2003-01,0.118,
2003-04,0.098,
2003-07,0.099,
2003-10,0.096,
2004-01,0.094,
2004-04,0.093,
2004-07,0.103,
2004-10,0.092,
2005-01,0.094,
2005-04,0.093,
2005-07,0.092,
2005-10,0.091,
2006-01,0.089,
2006-04,0.094,
2006-07,0.102,
2006-10,0.099,
2007-01,0.099,
2007-04,0.098,
2007-07,0.099,
2007-10,0.105,
2008-01,0.101,
2008-04,0.111,
2008-07,0.110,
2008-10,0.110,
2009-01,0.115,
2009-04,0.153,
2009-07,0.161,
2009-10,0.212,
2010-01,0.188,
2010-04,0.224,
2010-07,0.204,
2010-10,0.188,
2011-01,0.194,
2011-04,0.295,
2011-07,0.290,
2011-10,0.272,
2012-01,0.263,
2012-04,0.279,
2012-07,0.372,
2012-10,0.389,
2013-01,0.402,
2013-04,0.388,
2013-07,0.360,
2013-10,0.368,
2014-01,0.358,
2014-04,0.359,
2014-07,0.338,
