"",BBSF2.M.1.S.00000.TOT01.I.F.AKT.DE.00000.F05100.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.AKT.DE.00000.F05100.Z01.00_FLAGS
"",Special investors funds / Funds total / Shares / Germany,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:45:52,
1970-06,-,Nothing exists
1970-07,213,
1970-08,208,
1970-09,211,
1970-10,216,
1970-11,215,
1970-12,208,
1971-01,251,
1971-02,265,
1971-03,275,
1971-04,256,
1971-05,265,
1971-06,264,
1971-07,278,
1971-08,268,
1971-09,252,
1971-10,239,
1971-11,255,
1971-12,294,
1972-01,365,
1972-02,414,
1972-03,455,
1972-04,449,
1972-05,503,
1972-06,522,
1972-07,553,
1972-08,584,
1972-09,565,
1972-10,555,
1972-11,561,
1972-12,592,
1973-01,676,
1973-02,651,
1973-03,707,
1973-04,683,
1973-05,596,
1973-06,592,
1973-07,588,
1973-08,604,
1973-09,605,
1973-10,662,
1973-11,622,
1973-12,644,
1974-01,699,
1974-02,696,
1974-03,729,
1974-04,775,
1974-05,761,
1974-06,750,
1974-07,763,
1974-08,760,
1974-09,732,
1974-10,749,
1974-11,782,
1974-12,801,
1975-01,872,
1975-02,942,
1975-03,976,
1975-04,1094,
1975-05,1080,
1975-06,1166,
1975-07,1281,
1975-08,1221,
1975-09,1305,
1975-10,1412,
1975-11,1569,
1975-12,1704,
1976-01,1738,
1976-02,1752,
1976-03,1872,
1976-04,1804,
1976-05,1783,
1976-06,1817,
1976-07,1817,
1976-08,1815,
1976-09,1881,
1976-10,1703,
1976-11,1842,
1976-12,1892,
1977-01,1891,
1977-02,1847,
1977-03,1895,
1977-04,2069,
1977-05,2097,
1977-06,2095,
1977-07,2130,
1977-08,2257,
1977-09,2307,
1977-10,2420,
1977-11,2515,
1977-12,2567,
1978-01,2613,
1978-02,2635,
1978-03,2684,
1978-04,2663,
1978-05,2733,
1978-06,2824,
1978-07,3051,
1978-08,3174,
1978-09,3393,
1978-10,3414,
1978-11,3409,
1978-12,3456,
1979-01,3401,
1979-02,3211,
1979-03,3147,
1979-04,3131,
1979-05,2884,
1979-06,2805,
1979-07,2910,
1979-08,3008,
1979-09,3017,
1979-10,2853,
1979-11,2922,
1979-12,2932,
1980-01,3047,
1980-02,2955,
1980-03,2749,
1980-04,2907,
1980-05,3010,
1980-06,3190,
