"",BBK01.OEAE27I,BBK01.OEAE27I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:03:28,
2002-01,0.253,
2002-04,0.238,
2002-07,0.223,
2002-10,0.193,
2003-01,0.196,
2003-04,0.232,
2003-07,0.178,
2003-10,0.178,
2004-01,0.201,
2004-04,0.183,
2004-07,0.169,
2004-10,0.167,
2005-01,0.203,
2005-04,0.204,
2005-07,0.187,
2005-10,0.192,
2006-01,0.191,
2006-04,0.193,
2006-07,0.188,
2006-10,0.174,
2007-01,0.196,
2007-04,0.170,
2007-07,0.187,
2007-10,0.201,
2008-01,0.251,
2008-04,0.256,
2008-07,0.284,
2008-10,0.240,
2009-01,0.222,
2009-04,0.197,
2009-07,0.165,
2009-10,0.175,
2010-01,0.178,
2010-04,0.180,
2010-07,0.163,
2010-10,0.157,
2011-01,0.163,
2011-04,0.163,
2011-07,0.160,
2011-10,0.167,
2012-01,0.169,
2012-04,0.183,
2012-07,0.199,
2012-10,0.192,
2013-01,0.199,
2013-04,0.206,
2013-07,0.191,
2013-10,0.208,
2014-01,0.196,
2014-04,0.096,
2014-07,0.102,
