"",BBK01.OECJ03J,BBK01.OECJ03J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:01:24,
2002-01,0.419,
2002-04,0.422,
2002-07,0.356,
2002-10,0.338,
2003-01,0.348,
2003-04,0.397,
2003-07,0.339,
2003-10,0.266,
2004-01,0.272,
2004-04,0.179,
2004-07,0.204,
2004-10,0.274,
2005-01,0.242,
2005-04,0.220,
2005-07,0.212,
2005-10,0.418,
2006-01,0.336,
2006-04,0.247,
2006-07,0.277,
2006-10,0.265,
2007-01,0.215,
2007-04,0.192,
2007-07,0.421,
2007-10,0.562,
2008-01,0.498,
2008-04,0.609,
2008-07,0.668,
2008-10,0.686,
2009-01,0.695,
2009-04,0.616,
2009-07,0.624,
2009-10,0.655,
2010-01,0.612,
2010-04,0.531,
2010-07,0.512,
2010-10,0.556,
2011-01,0.612,
2011-04,0.507,
2011-07,0.561,
2011-10,0.506,
2012-01,0.491,
2012-04,4.900,
2012-07,4.641,
2012-10,4.471,
2013-01,4.279,
2013-04,2.781,
2013-07,1.937,
2013-10,1.821,
2014-01,0.458,
2014-04,0.472,
2014-07,0.389,
