"",BBK01.OEYJ01M,BBK01.OEYJ01M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:29,
2002-01,22.771,
2002-04,23.639,
2002-07,22.511,
2002-10,24.437,
2003-01,24.293,
2003-04,24.978,
2003-07,26.333,
2003-10,22.560,
2004-01,22.768,
2004-04,25.057,
2004-07,26.835,
2004-10,27.383,
2005-01,28.503,
2005-04,29.308,
2005-07,29.642,
2005-10,30.616,
2006-01,30.459,
2006-04,31.183,
2006-07,32.557,
2006-10,32.203,
2007-01,34.098,
2007-04,33.185,
2007-07,34.643,
2007-10,35.842,
2008-01,37.287,
2008-04,36.945,
2008-07,37.914,
2008-10,40.289,
2009-01,41.362,
2009-04,41.624,
2009-07,44.963,
2009-10,41.383,
2010-01,41.587,
2010-04,42.651,
2010-07,42.508,
2010-10,39.878,
2011-01,42.074,
2011-04,41.299,
2011-07,41.558,
2011-10,41.170,
2012-01,42.675,
2012-04,43.191,
2012-07,40.011,
2012-10,42.363,
2013-01,39.819,
2013-04,40.304,
2013-07,35.653,
2013-10,35.816,
2014-01,35.642,
2014-04,34.069,
2014-07,35.052,
