"",BBK01.OEAE32N,BBK01.OEAE32N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:04:46,
2002-01,3.323,
2002-04,3.317,
2002-07,3.338,
2002-10,3.352,
2003-01,3.319,
2003-04,3.280,
2003-07,3.291,
2003-10,3.203,
2004-01,3.202,
2004-04,3.134,
2004-07,3.105,
2004-10,3.000,
2005-01,2.997,
2005-04,3.024,
2005-07,2.987,
2005-10,2.998,
2006-01,3.014,
2006-04,3.022,
2006-07,3.027,
2006-10,3.018,
2007-01,2.974,
2007-04,2.969,
2007-07,2.979,
2007-10,3.048,
2008-01,3.048,
2008-04,3.035,
2008-07,3.036,
2008-10,3.038,
2009-01,3.048,
2009-04,3.098,
2009-07,3.115,
2009-10,3.057,
2010-01,3.079,
2010-04,3.095,
2010-07,3.191,
2010-10,3.183,
2011-01,3.151,
2011-04,3.162,
2011-07,3.144,
2011-10,3.145,
2012-01,3.133,
2012-04,3.142,
2012-07,3.156,
2012-10,3.141,
2013-01,3.159,
2013-04,3.142,
2013-07,3.140,
2013-10,3.152,
2014-01,3.122,
2014-04,3.148,
2014-07,3.109,
