"",BBFN1.M.DE.N.1.L.CH.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.CH.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1990-08,3.791,
1990-09,3.623,
1990-10,3.525,
1990-11,3.877,
1990-12,3.827,
1991-01,3.453,
1991-02,3.581,
1991-03,3.867,
1991-04,3.901,
1991-05,3.811,
1991-06,3.937,
1991-07,3.969,
1991-08,4.102,
1991-09,4.058,
1991-10,4.258,
1991-11,4.126,
1991-12,4.339,
1992-01,4.422,
1992-02,4.659,
1992-03,4.524,
1992-04,4.533,
1992-05,4.876,
1992-06,4.725,
1992-07,4.931,
1992-08,4.920,
1992-09,5.609,
1992-10,5.919,
1992-11,5.760,
1992-12,5.470,
1993-01,5.736,
1993-02,5.973,
1993-03,6.051,
1993-04,6.189,
1993-05,5.855,
1993-06,5.867,
1993-07,5.827,
1993-08,6.135,
1993-09,6.559,
1993-10,6.621,
1993-11,6.441,
1993-12,6.605,
1994-01,6.630,
1994-02,6.991,
1994-03,6.785,
1994-04,6.739,
1994-05,6.971,
1994-06,7.221,
1994-07,7.040,
1994-08,7.246,
1994-09,7.139,
1994-10,7.128,
1994-11,7.478,
1994-12,6.819,
1995-01,6.184,
1995-02,6.618,
1995-03,6.289,
1995-04,6.440,
1995-05,6.566,
1995-06,6.915,
1995-07,7.137,
1995-08,6.975,
1995-09,7.454,
1995-10,6.999,
1995-11,6.939,
1995-12,6.350,
1996-01,6.466,
1996-02,6.522,
1996-03,6.869,
1996-04,6.861,
1996-05,6.948,
1996-06,7.195,
1996-07,7.258,
1996-08,7.122,
1996-09,7.549,
1996-10,7.184,
1996-11,6.947,
1996-12,7.377,
1997-01,7.151,
1997-02,7.421,
1997-03,7.407,
1997-04,7.723,
1997-05,7.338,
1997-06,7.416,
1997-07,7.295,
1997-08,7.301,
1997-09,7.157,
1997-10,6.593,
1997-11,6.734,
1997-12,7.253,
1998-01,7.056,
1998-02,6.957,
1998-03,7.002,
1998-04,6.959,
1998-05,7.247,
1998-06,7.075,
1998-07,6.695,
1998-08,6.795,
1998-09,6.890,
1998-10,5.681,
1998-11,5.442,
1998-12,5.557,
1999-01,5.547,
1999-02,5.884,
1999-03,5.664,
1999-04,6.682,
1999-05,6.723,
1999-06,6.874,
1999-07,6.213,
1999-08,6.655,
1999-09,6.700,
1999-10,7.103,
1999-11,7.229,
1999-12,7.558,
2000-01,7.513,
2000-02,7.601,
2000-03,9.390,
2000-04,9.674,
2000-05,9.202,
2000-06,9.417,
2000-07,9.479,
2000-08,9.280,
2000-09,9.701,
2000-10,10.277,
2000-11,10.413,
2000-12,10.426,
2001-01,14.451,
2001-02,13.726,
2001-03,12.313,
2001-04,10.548,
2001-05,10.614,
2001-06,11.308,
2001-07,11.197,
2001-08,11.219,
2001-09,11.470,
2001-10,10.617,
2001-11,9.802,
2001-12,9.097,
2002-01,8.210,
2002-02,7.888,
2002-03,7.830,
2002-04,9.705,
2002-05,8.920,
2002-06,8.037,
2002-07,7.612,
2002-08,7.610,
2002-09,8.073,
2002-10,8.381,
2002-11,8.501,
2002-12,9.201,
2003-01,9.679,
2003-02,9.734,
2003-03,10.136,
2003-04,10.133,
2003-05,10.298,
2003-06,10.192,
2003-07,10.009,
2003-08,10.174,
2003-09,10.526,
2003-10,10.709,
2003-11,10.988,
2003-12,9.423,
2004-01,8.998,
2004-02,8.608,
2004-03,8.693,
2004-04,8.061,
2004-05,7.928,
2004-06,7.808,
2004-07,7.379,
2004-08,7.523,
2004-09,7.578,
2004-10,7.863,
2004-11,7.792,
2004-12,7.994,
2005-01,8.486,
2005-02,8.854,
2005-03,8.356,
2005-04,8.462,
2005-05,8.851,
2005-06,11.262,
2005-07,11.690,
2005-08,12.093,
2005-09,12.262,
2005-10,11.913,
2005-11,12.354,
2005-12,12.739,
2006-01,11.783,
2006-02,11.071,
2006-03,11.300,
2006-04,11.076,
2006-05,11.253,
2006-06,10.553,
2006-07,10.103,
2006-08,9.497,
2006-09,10.231,
2006-10,10.291,
2006-11,10.107,
2006-12,14.115,
2007-01,15.880,
2007-02,18.225,
2007-03,14.220,
2007-04,13.475,
2007-05,18.028,
2007-06,26.023,
2007-07,20.148,
2007-08,22.163,
2007-09,19.661,
2007-10,22.405,
2007-11,22.112,
2007-12,15.397,
2008-01,13.271,
2008-02,17.296,
2008-03,17.679,
2008-04,20.468,
2008-05,15.048,
2008-06,25.398,
2008-07,19.695,
2008-08,19.791,
2008-09,16.308,
2008-10,22.769,
2008-11,21.433,
2008-12,21.365,
2009-01,10.917,
2009-02,11.884,
2009-03,13.068,
2009-04,14.124,
2009-05,11.451,
2009-06,11.666,
2009-07,12.774,
2009-08,13.462,
2009-09,14.244,
2009-10,13.787,
2009-11,14.481,
2009-12,23.294,
2010-01,14.602,
2010-02,14.771,
2010-03,18.362,
2010-04,15.414,
2010-05,15.318,
2010-06,15.631,
2010-07,15.735,
2010-08,14.908,
2010-09,15.108,
2010-10,14.784,
2010-11,14.513,
2010-12,16.902,
2011-01,16.175,
2011-02,15.087,
2011-03,16.709,
2011-04,15.757,
2011-05,16.053,
2011-06,16.034,
2011-07,15.592,
2011-08,18.067,
2011-09,20.734,
2011-10,21.118,
2011-11,22.842,
2011-12,23.921,
2012-01,19.869,
2012-02,20.094,
2012-03,20.613,
2012-04,22.707,
2012-05,22.726,
2012-06,23.453,
2012-07,23.313,
2012-08,21.146,
2012-09,21.925,
2012-10,22.060,
2012-11,21.063,
2012-12,22.447,
2013-01,19.364,
2013-02,19.485,
2013-03,20.417,
2013-04,20.076,
2013-05,19.748,
2013-06,21.646,
2013-07,20.112,
2013-08,19.953,
2013-09,20.348,
2013-10,22.658,
2013-11,23.419,
2013-12,24.152,
2014-01,20.586,
2014-02,20.629,
2014-03,21.870,
2014-04,22.147,
2014-05,21.859,
2014-06,20.997,
2014-07,22.598,
2014-08,24.260,
2014-09,25.895,
2014-10,23.694,
2014-11,21.919,
2014-12,24.970,
