"",BBK01.OEAH65I,BBK01.OEAH65I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:43,
2002-01,0.147,
2002-04,0.153,
2002-07,0.160,
2002-10,0.180,
2003-01,0.166,
2003-04,0.158,
2003-07,0.149,
2003-10,0.142,
2004-01,0.136,
2004-04,0.121,
2004-07,0.112,
2004-10,0.092,
2005-01,0.113,
2005-04,0.114,
2005-07,0.121,
2005-10,0.122,
2006-01,0.134,
2006-04,0.152,
2006-07,0.184,
2006-10,0.191,
2007-01,0.202,
2007-04,0.243,
2007-07,0.271,
2007-10,0.356,
2008-01,0.451,
2008-04,0.526,
2008-07,0.579,
2008-10,0.667,
2009-01,0.706,
2009-04,0.599,
2009-07,0.505,
2009-10,0.341,
2010-01,0.252,
2010-04,0.226,
2010-07,0.253,
2010-10,0.280,
2011-01,0.344,
2011-04,0.360,
2011-07,0.357,
2011-10,0.354,
2012-01,0.279,
2012-04,0.275,
2012-07,0.249,
2012-10,0.214,
2013-01,0.217,
2013-04,0.210,
2013-07,0.217,
2013-10,0.223,
2014-01,0.225,
2014-04,0.225,
2014-07,0.196,
