"",BBK01.OEAP03N,BBK01.OEAP03N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:16:56,
2002-01,55.630,
2002-04,56.635,
2002-07,56.968,
2002-10,53.355,
2003-01,52.968,
2003-04,52.031,
2003-07,53.055,
2003-10,51.431,
2004-01,52.140,
2004-04,44.653,
2004-07,40.101,
2004-10,35.488,
2005-01,30.330,
2005-04,31.831,
2005-07,32.530,
2005-10,32.976,
2006-01,27.293,
2006-04,25.853,
2006-07,19.605,
2006-10,15.030,
2007-01,14.246,
2007-04,13.158,
2007-07,11.679,
2007-10,11.768,
2008-01,12.179,
2008-04,12.549,
2008-07,11.776,
2008-10,10.424,
2009-01,11.035,
2009-04,9.627,
2009-07,9.915,
2009-10,7.990,
2010-01,10.906,
2010-04,9.343,
2010-07,9.294,
2010-10,8.714,
2011-01,8.682,
2011-04,9.342,
2011-07,8.069,
2011-10,6.977,
2012-01,6.746,
2012-04,6.446,
2012-07,5.900,
2012-10,5.455,
2013-01,5.796,
2013-04,5.093,
2013-07,4.627,
2013-10,4.630,
2014-01,4.599,
2014-04,4.637,
2014-07,3.562,
