"",BBK01.OECK02I,BBK01.OECK02I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:43,
2002-01,0.762,
2002-04,0.875,
2002-07,0.804,
2002-10,0.939,
2003-01,0.854,
2003-04,0.889,
2003-07,0.899,
2003-10,0.970,
2004-01,0.925,
2004-04,0.904,
2004-07,0.899,
2004-10,0.937,
2005-01,1.098,
2005-04,1.158,
2005-07,1.232,
2005-10,1.366,
2006-01,1.288,
2006-04,1.336,
2006-07,1.423,
2006-10,1.796,
2007-01,1.453,
2007-04,1.480,
2007-07,1.507,
2007-10,1.455,
2008-01,1.359,
2008-04,1.312,
2008-07,1.226,
2008-10,1.358,
2009-01,1.998,
2009-04,2.097,
2009-07,2.408,
2009-10,2.418,
2010-01,1.625,
2010-04,1.631,
2010-07,1.613,
2010-10,1.653,
2011-01,1.723,
2011-04,1.658,
2011-07,1.762,
2011-10,1.890,
2012-01,1.703,
2012-04,1.718,
2012-07,1.768,
2012-10,1.921,
2013-01,1.812,
2013-04,1.879,
2013-07,1.946,
2013-10,2.112,
2014-01,2.037,
2014-04,2.082,
2014-07,2.082,
