"",BBSF2.M.1.T.00000.DSO01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DSO01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Funds total / Funds-of-funds: Other funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:48:07,
2009-09,9207,
2009-10,9630,
2009-11,10951,
2009-12,11390,
2010-01,11463,
2010-02,11902,
2010-03,12379,
2010-04,12469,
2010-05,12356,
2010-06,12442,
2010-07,12609,
2010-08,12727,
2010-09,12829,
2010-10,12900,
2010-11,13205,
2010-12,13150,
2011-01,13160,
2011-02,13263,
2011-03,13181,
2011-04,13334,
2011-05,13222,
2011-06,12985,
2011-07,13939,
2011-08,13346,
2011-09,13145,
2011-10,13192,
2011-11,13011,
2011-12,13002,
2012-01,13131,
2012-02,13353,
2012-03,13353,
2012-04,13420,
2012-05,13223,
2012-06,13280,
2012-07,13557,
2012-08,13556,
2012-09,13584,
2012-10,13503,
2012-11,13656,
2012-12,13436,
2013-01,13635,
2013-02,13626,
2013-03,13688,
2013-04,13782,
2013-05,13748,
2013-06,13255,
2013-07,13309,
2013-08,13257,
2013-09,14066,
2013-10,14421,
2013-11,14536,
2013-12,14558,
2014-01,14698,
2014-02,14448,
2014-03,14487,
2014-04,19904,
2014-05,20271,
2014-06,20408,
2014-07,20613,
2014-08,20680,
2014-09,20941,
2014-10,20960,
2014-11,21627,
