"",BBK01.OEBK03U,BBK01.OEBK03U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:07,
2002-01,0.126,
2002-04,0.123,
2002-07,0.120,
2002-10,0.123,
2003-01,0.124,
2003-04,0.131,
2003-07,0.127,
2003-10,0.124,
2004-01,0.117,
2004-04,0.115,
2004-07,0.119,
2004-10,0.115,
2005-01,0.122,
2005-04,0.119,
2005-07,0.111,
2005-10,0.115,
2006-01,0.121,
2006-04,0.122,
2006-07,0.123,
2006-10,0.120,
2007-01,0.128,
2007-04,0.135,
2007-07,0.152,
2007-10,0.159,
2008-01,0.172,
2008-04,0.202,
2008-07,0.222,
2008-10,0.225,
2009-01,0.170,
2009-04,0.139,
2009-07,0.103,
2009-10,0.079,
2010-01,0.072,
2010-04,0.062,
2010-07,0.057,
2010-10,0.057,
2011-01,0.058,
2011-04,0.061,
2011-07,0.051,
2011-10,0.065,
2012-01,0.083,
2012-04,0.079,
2012-07,0.073,
2012-10,0.043,
2013-01,0.034,
2013-04,0.030,
2013-07,0.028,
2013-10,0.030,
2014-01,0.029,
2014-04,0.028,
2014-07,0.029,
