"",BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.F.F7.T._T.T.N,BBFB1.Q.N.DE.A7.S1.S1.T.A.FA.F.F7.T._T.T.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Financial derivates and employee stock options / South American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:46:13,
1991-01,-0.051,
1991-04,-0.451,
1991-07,0.063,
1991-10,0.131,
1992-01,-0.260,
1992-04,-0.485,
1992-07,-0.613,
1992-10,0.238,
1993-01,-1.099,
1993-04,0.374,
1993-07,-0.130,
1993-10,-1.303,
1994-01,-0.258,
1994-04,-0.383,
1994-07,-48.441,
1994-10,-28.046,
1995-01,-9.570,
1995-04,-53.854,
1995-07,-5.195,
1995-10,6.251,
1996-01,-1.891,
1996-04,-6.965,
1996-07,-0.545,
1996-10,6.436,
1997-01,0.689,
1997-04,-9.964,
1997-07,-7.205,
1997-10,6.525,
1998-01,5.957,
1998-04,2.730,
1998-07,0.916,
1998-10,18.676,
1999-01,2.046,
1999-04,-11.634,
1999-07,0.891,
1999-10,12.639,
2000-01,0.288,
2000-04,10.066,
2000-07,-3.769,
2000-10,10.740,
2001-01,-3.355,
2001-04,-14.598,
2001-07,-2.342,
2001-10,-3.027,
2002-01,-3.212,
2002-04,-13.937,
2002-07,6.304,
2002-10,-0.482,
2003-01,1.819,
2003-04,-1.535,
2003-07,9.388,
2003-10,17.685,
2004-01,4.129,
2004-04,6.821,
2004-07,7.814,
2004-10,18.205,
2005-01,3.960,
2005-04,-1.822,
2005-07,-4.410,
2005-10,13.117,
2006-01,-3.661,
2006-04,5.752,
2006-07,-3.881,
2006-10,-4.305,
2007-01,-2.578,
2007-04,10.569,
2007-07,-5.171,
2007-10,-10.451,
2008-01,-5.154,
2008-04,-7.120,
2008-07,-16.877,
2008-10,-10.031,
2009-01,15.795,
2009-04,18.134,
2009-07,7.921,
2009-10,-1.792,
2010-01,2.207,
2010-04,-2.398,
2010-07,292.089,
2010-10,2.668,
2011-01,-0.010,
2011-04,-10.889,
2011-07,-7.560,
2011-10,-4.327,
2012-01,-4.136,
2012-04,-10.252,
2012-07,-5.653,
2012-10,-13.049,
2013-01,-1.651,
2013-04,-10.598,
2013-07,-1.177,
2013-10,-8.166,
2014-01,0.245,Provisional value
2014-04,-2.045,Provisional value
2014-07,-3.352,Provisional value
2014-10,-1.734,Provisional value
