"",BBFB1.M.N.DE.W1.S1.S1.T.C.SK._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.C.SK._Z._Z._Z._T._X.N_FLAGS
"","Current account / Personal, cultural, and recreational services / Receipts / Rest of the World",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:37:00,
1991-01,6.089,
1991-02,5.308,
1991-03,12.278,
1991-04,11.673,
1991-05,6.594,
1991-06,5.209,
1991-07,15.046,
1991-08,6.466,
1991-09,1.879,
1991-10,5.781,
1991-11,4.897,
1991-12,6.905,
1992-01,7.399,
1992-02,7.771,
1992-03,5.425,
1992-04,4.509,
1992-05,5.860,
1992-06,6.177,
1992-07,8.616,
1992-08,1.837,
1992-09,6.708,
1992-10,3.702,
1992-11,5.244,
1992-12,6.194,
1993-01,12.211,
1993-02,5.122,
1993-03,6.648,
1993-04,15.728,
1993-05,17.718,
1993-06,12.828,
1993-07,13.146,
1993-08,6.473,
1993-09,2.470,
1993-10,11.180,
1993-11,4.490,
1993-12,7.765,
1994-01,11.425,
1994-02,4.043,
1994-03,11.551,
1994-04,9.720,
1994-05,2.027,
1994-06,6.350,
1994-07,7.031,
1994-08,4.373,
1994-09,29.419,
1994-10,8.225,
1994-11,16.703,
1994-12,14.396,
1995-01,10.935,
1995-02,12.409,
1995-03,7.628,
1995-04,5.471,
1995-05,9.582,
1995-06,10.356,
1995-07,11.685,
1995-08,4.750,
1995-09,15.439,
1995-10,21.843,
1995-11,11.479,
1995-12,14.467,
1996-01,7.698,
1996-02,9.842,
1996-03,11.204,
1996-04,6.281,
1996-05,7.154,
1996-06,4.209,
1996-07,16.114,
1996-08,5.844,
1996-09,11.827,
1996-10,12.842,
1996-11,9.010,
1996-12,8.860,
1997-01,13.824,
1997-02,8.553,
1997-03,4.435,
1997-04,10.271,
1997-05,15.567,
1997-06,4.149,
1997-07,8.892,
1997-08,5.528,
1997-09,9.192,
1997-10,2.842,
1997-11,35.427,
1997-12,11.343,
1998-01,11.995,
1998-02,6.071,
1998-03,14.484,
1998-04,6.967,
1998-05,2.558,
1998-06,26.834,
1998-07,8.772,
1998-08,4.455,
1998-09,6.953,
1998-10,2.353,
1998-11,11.807,
1998-12,111.586,
1999-01,14.979,
1999-02,6.798,
1999-03,20.779,
1999-04,9.578,
1999-05,10.853,
1999-06,6.797,
1999-07,17.234,
1999-08,1.803,
1999-09,5.093,
1999-10,15.412,
1999-11,6.491,
1999-12,77.791,
2000-01,32.780,
2000-02,15.164,
2000-03,15.384,
2000-04,15.575,
2000-05,10.401,
2000-06,24.924,
2000-07,17.263,
2000-08,7.344,
2000-09,18.065,
2000-10,21.435,
2000-11,13.584,
2000-12,247.922,
2001-01,19.092,
2001-02,46.859,
2001-03,29.334,
2001-04,36.499,
2001-05,37.957,
2001-06,46.462,
2001-07,48.119,
2001-08,25.232,
2001-09,51.807,
2001-10,33.472,
2001-11,74.236,
2001-12,135.799,
2002-01,54.075,
2002-02,36.047,
2002-03,47.542,
2002-04,29.949,
2002-05,38.400,
2002-06,43.786,
2002-07,59.625,
2002-08,41.626,
2002-09,41.742,
2002-10,28.777,
2002-11,45.648,
2002-12,95.403,
2003-01,18.918,
2003-02,20.712,
2003-03,40.235,
2003-04,57.077,
2003-05,47.392,
2003-06,182.744,
2003-07,41.394,
2003-08,78.726,
2003-09,42.578,
2003-10,61.943,
2003-11,59.056,
2003-12,226.381,
2004-01,50.662,
2004-02,32.245,
2004-03,63.802,
2004-04,31.391,
2004-05,30.441,
2004-06,52.324,
2004-07,38.467,
2004-08,34.626,
2004-09,82.851,
2004-10,50.178,
2004-11,135.923,
2004-12,174.360,
2005-01,44.196,
2005-02,47.406,
2005-03,55.299,
2005-04,30.948,
2005-05,53.247,
2005-06,68.426,
2005-07,62.319,
2005-08,21.358,
2005-09,29.723,
2005-10,50.988,
2005-11,34.798,
2005-12,462.247,
2006-01,17.155,
2006-02,27.804,
2006-03,64.317,
2006-04,29.254,
2006-05,44.959,
2006-06,48.681,
2006-07,52.134,
2006-08,33.499,
2006-09,84.552,
2006-10,45.595,
2006-11,70.142,
2006-12,225.594,
2007-01,27.364,
2007-02,34.293,
2007-03,46.737,
2007-04,42.688,
2007-05,59.030,
2007-06,55.339,
2007-07,58.514,
2007-08,63.113,
2007-09,41.182,
2007-10,46.023,
2007-11,74.170,
2007-12,270.913,
2008-01,22.949,
2008-02,14.103,
2008-03,23.083,
2008-04,87.323,
2008-05,52.911,
2008-06,50.281,
2008-07,60.992,
2008-08,24.407,
2008-09,33.215,
2008-10,36.584,
2008-11,86.223,
2008-12,255.687,
2009-01,71.107,
2009-02,32.145,
2009-03,107.100,
2009-04,66.075,
2009-05,72.359,
2009-06,47.669,
2009-07,55.956,
2009-08,36.124,
2009-09,40.800,
2009-10,41.329,
2009-11,83.221,
2009-12,245.462,
2010-01,58.777,
2010-02,55.552,
2010-03,54.602,
2010-04,45.671,
2010-05,76.139,
2010-06,46.828,
2010-07,49.102,
2010-08,29.740,
2010-09,89.517,
2010-10,61.506,
2010-11,48.260,
2010-12,234.344,
2011-01,51.877,
2011-02,23.455,
2011-03,52.326,
2011-04,40.444,
2011-05,47.174,
2011-06,54.232,
2011-07,34.829,
2011-08,31.098,
2011-09,49.634,
2011-10,30.813,
2011-11,122.183,
2011-12,244.104,
2012-01,20.297,
2012-02,23.525,
2012-03,29.532,
2012-04,36.506,
2012-05,55.721,
2012-06,50.923,
2012-07,38.081,
2012-08,29.181,
2012-09,89.194,
2012-10,86.135,
2012-11,87.864,
2012-12,224.395,
2013-01,40.722,
2013-02,61.831,
2013-03,53.923,
2013-04,67.117,
2013-05,85.640,
2013-06,96.241,
2013-07,88.977,
2013-08,66.458,
2013-09,57.654,
2013-10,87.747,
