"",BBK01.CEFI0C,BBK01.CEFI0C_FLAGS
"",Listed shares               debtor: Total                              creditor: General government,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:34,
1999-01,67.4,
1999-04,64.0,
1999-07,58.6,
1999-10,87.5,
2000-01,87.1,
2000-04,83.0,
2000-07,80.9,
2000-10,49.2,
2001-01,46.7,
2001-04,45.6,
2001-07,40.9,
2001-10,30.9,
2002-01,33.4,
2002-04,34.8,
2002-07,34.4,
2002-10,33.3,
2003-01,33.0,
2003-04,34.3,
2003-07,34.4,
2003-10,45.0,
2004-01,45.1,
2004-04,45.3,
2004-07,45.1,
2004-10,45.5,
2005-01,48.0,
2005-04,45.4,
2005-07,51.5,
2005-10,40.2,
2006-01,45.5,
2006-04,40.4,
2006-07,39.6,
2006-10,44.6,
2007-01,39.5,
2007-04,41.3,
2007-07,34.9,
2007-10,37.1,
2008-01,28.2,
2008-04,27.0,
2008-07,26.1,
2008-10,24.6,
2009-01,20.2,
2009-04,19.9,
2009-07,25.8,
2009-10,26.1,
2010-01,25.5,
2010-04,24.1,
2010-07,25.5,
2010-10,24.8,
2011-01,26.9,
2011-04,28.7,
2011-07,22.5,
2011-10,22.7,
2012-01,25.4,
2012-04,26.1,
2012-07,29.1,
2012-10,28.0,
2013-01,27.0,
2013-04,26.7,
2013-07,30.8,
2013-10,34.7,
2014-01,34.3,
2014-04,35.5,
2014-07,34.1,
