"",BBK01.OELI06V,BBK01.OELI06V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:03,
2002-01,0.859,
2002-04,0.864,
2002-07,0.853,
2002-10,0.824,
2003-01,0.817,
2003-04,0.788,
2003-07,0.758,
2003-10,0.746,
2004-01,0.725,
2004-04,0.703,
2004-07,0.688,
2004-10,0.658,
2005-01,0.627,
2005-04,0.598,
2005-07,0.574,
2005-10,0.579,
2006-01,0.558,
2006-04,0.570,
2006-07,0.584,
2006-10,0.597,
2007-01,0.607,
2007-04,0.638,
2007-07,0.658,
2007-10,0.661,
2008-01,0.698,
2008-04,0.689,
2008-07,0.718,
2008-10,0.741,
2009-01,0.657,
2009-04,0.578,
2009-07,0.528,
2009-10,0.477,
2010-01,0.441,
2010-04,0.436,
2010-07,0.416,
2010-10,0.406,
2011-01,0.414,
2011-04,0.426,
2011-07,0.432,
2011-10,0.442,
2012-01,0.435,
2012-04,0.416,
2012-07,0.363,
2012-10,0.348,
2013-01,0.322,
2013-04,0.304,
2013-07,0.281,
2013-10,0.304,
2014-01,0.296,
2014-04,0.269,
2014-07,0.265,
