"",BBFB1.Q.N.DE.D09.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.D09.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Extra-EU (changing composition) not allocated,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:35:10,
1991-01,-133.476,
1991-04,-161.558,
1991-07,-159.431,
1991-10,-220.446,
1992-01,-142.781,
1992-04,-155.688,
1992-07,-161.191,
1992-10,-180.216,
1993-01,-163.144,
1993-04,-145.617,
1993-07,-155.844,
1993-10,-157.195,
1994-01,-139.482,
1994-04,-133.299,
1994-07,-155.793,
1994-10,-146.613,
1995-01,-39.467,
1995-04,-47.938,
1995-07,-46.630,
1995-10,-89.050,
1996-01,-19.230,
1996-04,-18.782,
1996-07,-19.173,
1996-10,-19.348,
1997-01,-19.076,
1997-04,-18.734,
1997-07,-21.551,
1997-10,-22.967,
1998-01,-21.882,
1998-04,-20.147,
1998-07,-20.640,
1998-10,-23.513,
1999-01,-13.533,
1999-04,-16.168,
1999-07,-13.296,
1999-10,-17.722,
2000-01,-16.749,
2000-04,-18.855,
2000-07,-19.432,
2000-10,-22.769,
2001-01,-14.540,
2001-04,-13.442,
2001-07,-23.295,
2001-10,-19.705,
2002-01,-14.838,
2002-04,-23.760,
2002-07,-20.440,
2002-10,-21.529,
2003-01,-17.063,
2003-04,-20.413,
2003-07,-15.816,
2003-10,-24.054,
2004-01,-10.779,
2004-04,-20.835,
2004-07,-35.637,
2004-10,-22.156,
2005-01,-13.837,
2005-04,-12.156,
2005-07,-12.652,
2005-10,-12.322,
2006-01,-9.144,
2006-04,-13.535,
2006-07,-10.389,
2006-10,-15.821,
2007-01,-9.275,
2007-04,-11.354,
2007-07,-11.336,
2007-10,-14.430,
2008-01,-13.380,
2008-04,-14.344,
2008-07,-11.238,
2008-10,-13.449,
2009-01,-7.383,
2009-04,-9.572,
2009-07,-8.930,
2009-10,-12.301,
2010-01,-14.307,
2010-04,-13.684,
2010-07,-14.017,
2010-10,-19.299,
2011-01,-9.097,
2011-04,-11.249,
2011-07,-10.590,
2011-10,-27.597,
2012-01,45.763,
2012-04,44.285,
2012-07,25.707,
2012-10,9.794,
2013-01,9.173,
2013-04,-47.627,
2013-07,-389.375,
2013-10,-434.876,
2014-01,-294.729,
2014-04,-312.190,
2014-07,-305.643,
