"",BBK01.OECB16L,BBK01.OECB16L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:30,
2002-01,1.871,
2002-04,1.857,
2002-07,1.832,
2002-10,1.777,
2003-01,1.734,
2003-04,1.694,
2003-07,1.653,
2003-10,1.617,
2004-01,1.592,
2004-04,1.586,
2004-07,1.580,
2004-10,1.528,
2005-01,1.608,
2005-04,1.573,
2005-07,1.603,
2005-10,1.544,
2006-01,1.698,
2006-04,1.685,
2006-07,1.688,
2006-10,1.673,
2007-01,1.673,
2007-04,1.700,
2007-07,1.677,
2007-10,1.659,
2008-01,1.624,
2008-04,1.603,
2008-07,1.604,
2008-10,1.586,
2009-01,1.580,
2009-04,3.037,
2009-07,2.916,
2009-10,2.867,
2010-01,2.853,
2010-04,2.824,
2010-07,2.737,
2010-10,2.420,
2011-01,2.670,
2011-04,2.621,
2011-07,2.529,
2011-10,2.398,
2012-01,2.335,
2012-04,2.278,
2012-07,2.205,
2012-10,2.190,
2013-01,2.160,
2013-04,2.112,
2013-07,2.123,
2013-10,2.065,
2014-01,2.053,
2014-04,2.094,
2014-07,2.082,
