"",BBK01.OEYM02V,BBK01.OEYM02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:44:42,
2002-01,0.126,
2002-04,0.322,
2002-07,0.148,
2002-10,0.073,
2003-01,0.183,
2003-04,0.212,
2003-07,0.210,
2003-10,0.140,
2004-01,0.199,
2004-04,0.127,
2004-07,0.238,
2004-10,0.088,
2005-01,0.260,
2005-04,0.147,
2005-07,0.609,
2005-10,0.301,
2006-01,0.474,
2006-04,0.486,
2006-07,0.632,
2006-10,0.440,
2007-01,0.582,
2007-04,0.611,
2007-07,0.560,
2007-10,0.239,
2008-01,0.356,
2008-04,0.307,
2008-07,0.744,
2008-10,0.455,
2009-01,0.378,
2009-04,0.492,
2009-07,0.574,
2009-10,0.422,
2010-01,0.599,
2010-04,0.556,
2010-07,0.582,
2010-10,0.539,
2011-01,0.363,
2011-04,0.172,
2011-07,0.289,
2011-10,0.813,
2012-01,1.189,
2012-04,1.714,
2012-07,0.429,
2012-10,0.414,
2013-01,0.176,
2013-04,0.682,
2013-07,0.174,
2013-10,0.265,
2014-01,0.422,
2014-04,0.484,
2014-07,0.193,
