"",BBK01.OEAH86I,BBK01.OEAH86I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:24:50,
2002-01,0.404,
2002-04,0.421,
2002-07,0.378,
2002-10,0.378,
2003-01,0.803,
2003-04,0.425,
2003-07,0.387,
2003-10,0.500,
2004-01,0.536,
2004-04,0.563,
2004-07,0.666,
2004-10,0.605,
2005-01,0.709,
2005-04,0.907,
2005-07,0.720,
2005-10,0.558,
2006-01,0.606,
2006-04,0.777,
2006-07,0.757,
2006-10,0.814,
2007-01,0.774,
2007-04,1.046,
2007-07,0.981,
2007-10,1.063,
2008-01,1.312,
2008-04,1.189,
2008-07,1.293,
2008-10,1.103,
2009-01,1.234,
2009-04,1.309,
2009-07,1.428,
2009-10,1.498,
2010-01,1.559,
2010-04,1.733,
2010-07,1.787,
2010-10,1.848,
2011-01,2.200,
2011-04,2.398,
2011-07,2.315,
2011-10,2.278,
2012-01,2.300,
2012-04,2.448,
2012-07,2.442,
2012-10,2.787,
2013-01,2.704,
2013-04,2.996,
2013-07,3.136,
2013-10,3.129,
2014-01,2.935,
2014-04,3.346,
2014-07,3.597,
