"",BBK01.OEAD38Q,BBK01.OEAD38Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:00:27,
2002-01,0.662,
2002-04,0.651,
2002-07,0.637,
2002-10,0.624,
2003-01,0.591,
2003-04,0.618,
2003-07,0.616,
2003-10,0.625,
2004-01,0.606,
2004-04,0.555,
2004-07,0.549,
2004-10,0.545,
2005-01,0.527,
2005-04,0.539,
2005-07,0.528,
2005-10,0.538,
2006-01,0.529,
2006-04,0.532,
2006-07,0.524,
2006-10,0.532,
2007-01,0.662,
2007-04,0.606,
2007-07,0.595,
2007-10,0.586,
2008-01,0.448,
2008-04,0.447,
2008-07,0.411,
2008-10,0.395,
2009-01,0.367,
2009-04,0.380,
2009-07,0.366,
2009-10,0.365,
2010-01,0.396,
2010-04,0.387,
2010-07,0.339,
2010-10,0.338,
2011-01,0.320,
2011-04,0.358,
2011-07,0.298,
2011-10,0.306,
2012-01,0.295,
2012-04,0.294,
2012-07,0.286,
2012-10,0.327,
2013-01,0.361,
2013-04,0.311,
2013-07,0.313,
2013-10,0.428,
2014-01,0.407,
2014-04,0.356,
2014-07,0.342,
