"",BBSF2.M.1.T.00000.DAC01.I.F.MAK.Z5.00000.000000.Z01.00,BBSF2.M.1.T.00000.DAC01.I.F.MAK.Z5.00000.000000.Z01.00_FLAGS
"",Public and Special Investors Funds / Funds-of-funds / Net sales receipts,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:09,
2009-09,2656,
2009-10,684,
2009-11,311,
2009-12,667,
2010-01,393,
2010-02,300,
2010-03,241,
2010-04,432,
2010-05,70,
2010-06,-239,
2010-07,347,
2010-08,4136,
2010-09,8,
2010-10,438,
2010-11,465,
2010-12,1153,
2011-01,267,
2011-02,84,
2011-03,302,
2011-04,225,
2011-05,285,
2011-06,227,
2011-07,209,
2011-08,109,
2011-09,630,
2011-10,385,
2011-11,99,
2011-12,887,
2012-01,134,
2012-02,-9,
2012-03,164,
2012-04,139,
2012-05,28,
2012-06,-22,
2012-07,8958,
2012-08,-346,
2012-09,14,
2012-10,519,
2012-11,139,
2012-12,1035,
2013-01,954,
2013-02,80,
2013-03,179,
2013-04,564,
2013-05,85,
2013-06,-259,
2013-07,-35,
2013-08,-115,
2013-09,229,
2013-10,500,
2013-11,273,
2013-12,1492,
2014-01,373,
2014-02,-164,
2014-03,612,
2014-04,352,
2014-05,230,
2014-06,686,
2014-07,584,
2014-08,565,
2014-09,200,
2014-10,296,
2014-11,847,
