"",BBFB1.M.N.DE.W1.S1.S1.T.B.SF._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1.S1.T.B.SF._Z._Z._Z._T._X.N_FLAGS
"",Current account / Insurance and pension services / Balance / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:36:28,
1991-01,21.600,
1991-02,21.545,
1991-03,21.492,
1991-04,22.454,
1991-05,22.397,
1991-06,22.336,
1991-07,23.637,
1991-08,23.574,
1991-09,23.514,
1991-10,17.013,
1991-11,16.943,
1991-12,16.870,
1992-01,19.507,
1992-02,19.433,
1992-03,19.357,
1992-04,21.904,
1992-05,21.826,
1992-06,21.741,
1992-07,22.585,
1992-08,22.500,
1992-09,22.415,
1992-10,22.733,
1992-11,22.644,
1992-12,22.547,
1993-01,15.812,
1993-02,15.903,
1993-03,34.605,
1993-04,17.403,
1993-05,16.208,
1993-06,37.068,
1993-07,16.251,
1993-08,17.914,
1993-09,37.132,
1993-10,16.016,
1993-11,16.313,
1993-12,35.078,
1994-01,14.648,
1994-02,17.149,
1994-03,37.711,
1994-04,14.896,
1994-05,17.125,
1994-06,37.443,
1994-07,16.304,
1994-08,16.790,
1994-09,36.798,
1994-10,16.630,
1994-11,15.833,
1994-12,36.413,
1995-01,24.105,
1995-02,23.816,
1995-03,22.202,
1995-04,26.049,
1995-05,25.952,
1995-06,23.116,
1995-07,27.617,
1995-08,27.542,
1995-09,26.644,
1995-10,31.431,
1995-11,31.352,
1995-12,29.656,
1996-01,35.791,
1996-02,34.879,
1996-03,36.076,
1996-04,42.351,
1996-05,41.709,
1996-06,42.782,
1996-07,46.576,
1996-08,47.214,
1996-09,45.796,
1996-10,51.851,
1996-11,54.199,
1996-12,52.493,
1997-01,58.380,
1997-02,60.741,
1997-03,60.704,
1997-04,68.220,
1997-05,70.354,
1997-06,73.835,
1997-07,80.305,
1997-08,81.845,
1997-09,82.933,
1997-10,95.380,
1997-11,96.957,
1997-12,105.076,
1998-01,111.241,
1998-02,113.773,
1998-03,115.257,
1998-04,107.345,
1998-05,110.349,
1998-06,116.089,
1998-07,81.545,
1998-08,82.647,
1998-09,85.752,
1998-10,32.565,
1998-11,33.590,
1998-12,36.050,
1999-01,-34.009,
1999-02,-37.021,
1999-03,-38.520,
1999-04,-65.200,
1999-05,-66.020,
1999-06,-67.123,
1999-07,-62.090,
1999-08,-53.699,
1999-09,-54.103,
1999-10,-0.655,
1999-11,-1.535,
1999-12,-2.209,
2000-01,94.496,
2000-02,94.696,
2000-03,85.988,
2000-04,128.371,
2000-05,124.800,
2000-06,125.039,
2000-07,97.941,
2000-08,96.156,
2000-09,94.783,
2000-10,2.859,
2000-11,1.965,
2000-12,2.728,
2001-01,-148.860,
2001-02,-146.740,
2001-03,-151.408,
2001-04,-208.553,
2001-05,-207.678,
2001-06,-211.199,
2001-07,-178.538,
2001-08,-178.398,
2001-09,-181.640,
2001-10,-56.223,
2001-11,-56.153,
2001-12,-49.904,
2002-01,162.574,
2002-02,161.037,
2002-03,172.915,
2002-04,277.088,
2002-05,280.590,
2002-06,281.149,
2002-07,298.713,
2002-08,298.987,
2002-09,298.075,
2002-10,215.308,
2002-11,217.001,
2002-12,221.584,
2003-01,35.021,
2003-02,34.677,
2003-03,25.029,
2003-04,-56.172,
2003-05,-54.602,
2003-06,-64.060,
2003-07,-61.972,
2003-08,-60.842,
2003-09,-68.023,
2003-10,12.286,
2003-11,14.166,
2003-12,6.322,
2004-01,179.144,
2004-02,174.894,
2004-03,176.129,
2004-04,266.729,
2004-05,267.234,
2004-06,265.098,
2004-07,270.124,
2004-08,274.914,
2004-09,275.179,
2004-10,204.565,
2004-11,198.909,
2004-12,187.619,
2005-01,48.753,
2005-02,61.628,
2005-03,63.137,
2005-04,-12.593,
2005-05,-20.957,
2005-06,-23.450,
2005-07,-29.861,
2005-08,-15.820,
2005-09,-31.246,
2005-10,50.805,
2005-11,35.414,
2005-12,12.810,
2006-01,180.622,
2006-02,179.378,
2006-03,172.388,
2006-04,268.932,
2006-05,267.019,
2006-06,270.348,
2006-07,318.344,
2006-08,318.857,
2006-09,311.632,
2006-10,314.432,
2006-11,308.220,
2006-12,300.110,
2007-01,259.024,
2007-02,260.689,
2007-03,258.003,
2007-04,224.932,
2007-05,223.049,
2007-06,226.706,
2007-07,200.848,
2007-08,197.126,
2007-09,200.172,
2007-10,177.936,
2007-11,173.449,
2007-12,161.596,
2008-01,165.425,
2008-02,168.545,
2008-03,160.615,
2008-04,172.639,
2008-05,174.897,
2008-06,176.469,
2008-07,201.547,
2008-08,210.192,
2008-09,206.386,
2008-10,257.376,
2008-11,258.494,
2008-12,257.960,
2009-01,329.225,
2009-02,336.051,
2009-03,328.037,
2009-04,380.960,
2009-05,373.574,
2009-06,373.337,
2009-07,386.968,
2009-08,384.739,
2009-09,383.107,
2009-10,364.873,
2009-11,367.097,
2009-12,362.228,
2010-01,316.038,
2010-02,317.082,
2010-03,313.492,
2010-04,273.569,
2010-05,270.122,
2010-06,286.939,
2010-07,228.336,
2010-08,234.961,
2010-09,239.151,
2010-10,205.018,
2010-11,195.830,
2010-12,201.776,
2011-01,184.586,
2011-02,171.636,
2011-03,170.789,
2011-04,169.571,
2011-05,160.686,
2011-06,172.709,
2011-07,160.021,
2011-08,159.165,
2011-09,145.765,
2011-10,164.200,
2011-11,138.655,
2011-12,153.448,
2012-01,170.510,
2012-02,171.488,
2012-03,168.455,
2012-04,188.361,
2012-05,183.968,
2012-06,190.563,
2012-07,184.927,
2012-08,186.529,
2012-09,190.146,
2012-10,195.939,
2012-11,188.235,
2012-12,193.871,
2013-01,184.715,
2013-02,196.754,
2013-03,254.520,
2013-04,192.105,
2013-05,201.395,
2013-06,292.443,
2013-07,187.201,
2013-08,193.277,
2013-09,243.292,
2013-10,190.067,
2013-11,200.732,
2013-12,250.755,
2014-01,-132.981,
2014-02,-2.697,Provisional value
2014-03,-57.909,Provisional value
2014-04,20.650,Provisional value
2014-05,208.432,Provisional value
2014-06,-265.731,Provisional value
2014-07,-1.385,Provisional value
2014-08,38.842,Provisional value
2014-09,46.397,
2014-10,-66.789,
2014-11,-77.998,
2014-12,-152.506,Provisional value
