"",BBK01.OEAH01O,BBK01.OEAH01O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:27:47,
2002-01,12.831,
2002-04,14.576,
2002-07,15.489,
2002-10,12.372,
2003-01,14.188,
2003-04,15.319,
2003-07,14.445,
2003-10,15.790,
2004-01,15.241,
2004-04,15.457,
2004-07,16.137,
2004-10,17.020,
2005-01,92.708,
2005-04,93.281,
2005-07,94.226,
2005-10,95.511,
2006-01,95.738,
2006-04,96.717,
2006-07,97.632,
2006-10,99.312,
2007-01,97.598,
2007-04,99.892,
2007-07,100.379,
2007-10,102.980,
2008-01,103.616,
2008-04,102.923,
2008-07,98.245,
2008-10,100.464,
2009-01,101.670,
2009-04,102.227,
2009-07,104.032,
2009-10,106.743,
2010-01,106.625,
2010-04,107.849,
2010-07,110.525,
2010-10,110.847,
2011-01,110.050,
2011-04,111.255,
2011-07,111.544,
2011-10,112.587,
2012-01,111.759,
2012-04,111.718,
2012-07,113.388,
2012-10,116.085,
2013-01,112.938,
2013-04,112.603,
2013-07,111.883,
2013-10,114.631,
2014-01,112.837,
2014-04,112.942,
2014-07,114.661,
