"",BBFB1.Q.N.DE.PL.S1.S1.T.D.S._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.PL.S1.S1.T.D.S._Z._Z._Z._T._X.N_FLAGS
"",Current account / Services / Expenditure / Poland,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:30:24,
1991-01,143.126,
1991-04,160.418,
1991-07,202.201,
1991-10,173.078,
1992-01,178.046,
1992-04,201.530,
1992-07,243.363,
1992-10,208.011,
1993-01,248.785,
1993-04,274.470,
1993-07,317.467,
1993-10,281.511,
1994-01,278.875,
1994-04,302.441,
1994-07,356.181,
1994-10,292.447,
1995-01,330.881,
1995-04,339.389,
1995-07,413.431,
1995-10,328.362,
1996-01,372.673,
1996-04,429.012,
1996-07,468.098,
1996-10,426.006,
1997-01,398.108,
1997-04,512.719,
1997-07,520.877,
1997-10,496.043,
1998-01,461.738,
1998-04,537.856,
1998-07,608.927,
1998-10,508.688,
1999-01,470.041,
1999-04,568.815,
1999-07,624.138,
1999-10,547.102,
2000-01,574.502,
2000-04,677.299,
2000-07,795.388,
2000-10,641.219,
2001-01,609.907,
2001-04,749.829,
2001-07,866.981,
2001-10,634.714,
2002-01,570.976,
2002-04,681.613,
2002-07,846.899,
2002-10,632.374,
2003-01,607.660,
2003-04,818.021,
2003-07,1052.766,
2003-10,734.095,
2004-01,642.629,
2004-04,967.306,
2004-07,1264.605,
2004-10,943.404,
2005-01,1182.357,
2005-04,1226.705,
2005-07,1574.081,
2005-10,1221.978,
2006-01,1183.423,
2006-04,1167.740,
2006-07,1760.990,
2006-10,1430.368,
2007-01,1434.767,
2007-04,1476.766,
2007-07,1705.014,
2007-10,1455.958,
2008-01,1498.642,
2008-04,1569.480,
2008-07,1703.444,
2008-10,1423.388,
2009-01,1142.910,
2009-04,1402.111,
2009-07,1621.163,
2009-10,1379.808,
2010-01,1153.979,
2010-04,1332.326,
2010-07,1654.228,
2010-10,1348.839,
2011-01,1284.360,
2011-04,1514.100,
2011-07,1718.417,
2011-10,1454.146,
2012-01,1241.187,
2012-04,1559.166,
2012-07,1713.133,
2012-10,1645.133,
2013-01,1355.724,
2013-04,1525.247,
2013-07,1914.916,
2013-10,1741.573,
2014-01,1501.150,Provisional value
2014-04,1717.523,Provisional value
2014-07,2032.465,Provisional value
