"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.U3.00000.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.U3.00000.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / EU member states not belonging to the Euro area,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:46:35,
2009-09,42401,
2009-10,44198,
2009-11,45265,
2009-12,45667,
2010-01,46645,
2010-02,47566,
2010-03,49197,
2010-04,50646,
2010-05,50943,
2010-06,51513,
2010-07,52642,
2010-08,54735,
2010-09,55994,
2010-10,57633,
2010-11,57396,
2010-12,57331,
2011-01,57083,
2011-02,57079,
2011-03,57715,
2011-04,58173,
2011-05,59768,
2011-06,60093,
2011-07,60877,
2011-08,60641,
2011-09,60479,
2011-10,57361,
2011-11,59904,
2011-12,60792,
2012-01,62677,
2012-02,64752,
2012-03,66171,
2012-04,67300,
2012-05,68419,
2012-06,69051,
2012-07,71141,
2012-08,71394,
2012-09,71072,
2012-10,70797,
2012-11,70590,
2012-12,71116,
2013-01,67854,
2013-02,68972,
2013-03,69733,
2013-04,70690,
2013-05,70201,
2013-06,68739,
2013-07,69189,
2013-08,68825,
2013-09,68937,
2013-10,68896,
2013-11,69719,
2013-12,69008,
2014-01,68649,
2014-02,69603,
2014-03,70193,
2014-04,70512,
2014-05,71789,
2014-06,74414,
2014-07,74477,
2014-08,75326,
2014-09,76947,
2014-10,77758,
2014-11,79722,
