"",BBK01.OEAD14H,BBK01.OEAD14H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:57:47,
2002-01,0.555,
2002-04,0.514,
2002-07,0.468,
2002-10,0.412,
2003-01,0.475,
2003-04,0.487,
2003-07,0.384,
2003-10,0.302,
2004-01,0.356,
2004-04,0.349,
2004-07,0.306,
2004-10,0.275,
2005-01,0.351,
2005-04,0.312,
2005-07,0.257,
2005-10,0.237,
2006-01,0.286,
2006-04,0.254,
2006-07,0.203,
2006-10,0.206,
2007-01,0.271,
2007-04,0.258,
2007-07,0.223,
2007-10,0.223,
2008-01,0.256,
2008-04,0.231,
2008-07,0.228,
2008-10,0.202,
2009-01,0.277,
2009-04,0.248,
2009-07,0.196,
2009-10,0.164,
2010-01,0.215,
2010-04,0.249,
2010-07,0.232,
2010-10,0.163,
2011-01,0.232,
2011-04,0.259,
2011-07,0.208,
2011-10,0.179,
2012-01,0.329,
2012-04,0.321,
2012-07,0.228,
2012-10,0.173,
2013-01,0.255,
2013-04,0.265,
2013-07,0.193,
2013-10,0.176,
2014-01,0.185,
2014-04,0.153,
2014-07,0.139,
