"",BBEX3.M.NOK.USD.CA.AA.A02,BBEX3.M.NOK.USD.CA.AA.A02_FLAGS
"",Exchange rates for the US dollar in Norway / USD 1 = NOK ... (buying),
unit,NOK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:47,
1972-01,6.6957,
1972-02,6.6432,
1972-03,6.5869,
1972-04,6.5918,
1972-05,6.5632,
1972-06,6.5284,
1972-07,6.4985,
1972-08,6.5123,
1972-09,6.5630,
1972-10,6.5939,
1972-11,6.5959,
1972-12,6.5729,
1973-01,6.6039,
1973-02,6.2175,
1973-03,5.8980,
1973-04,5.9040,
1973-05,5.8079,
1973-06,5.4938,
1973-07,5.2614,
1973-08,5.4963,
1973-09,5.5245,
1973-10,5.4573,
1973-11,5.5964,
1973-12,5.6444,
1974-01,5.9540,
1974-02,5.7605,
1974-03,5.6349,
1974-04,5.4805,
1974-05,5.3098,
1974-06,5.4163,
1974-07,5.3891,
1974-08,5.4648,
1974-09,5.5430,
1974-10,5.4955,
1974-11,5.4262,
1974-12,5.3025,
1975-01,5.0959,
1975-02,4.9996,
1975-03,4.8981,
1975-04,4.9752,
1975-05,4.9332,
1975-06,4.8900,
1975-07,5.1763,
1975-08,5.4518,
1975-09,5.5863,
1975-10,5.5137,
1975-11,5.5024,
1975-12,5.5463,
1976-01,5.5427,
1976-02,5.5105,
1976-03,5.5355,
1976-04,5.4818,
1976-05,5.4766,
1976-06,5.5351,
1976-07,5.5728,
1976-08,5.4948,
1976-09,5.4197,
1976-10,5.3049,
1976-11,5.2567,
1976-12,5.1985,
1977-01,5.2587,
1977-02,5.2754,
1977-03,5.2401,
1977-04,5.2721,
1977-05,5.2619,
1977-06,5.2753,
1977-07,5.2470,
1977-08,5.2898,
1977-09,5.4744,
1977-10,5.4745,
1977-11,5.4417,
1977-12,5.2356,
1978-01,5.1397,
1978-02,5.2545,
1978-03,5.3128,
1978-04,5.3530,
1978-05,5.4382,
1978-06,5.3923,
1978-07,5.3832,
1978-08,5.2445,
1978-09,5.2007,
1978-10,4.9195,
1978-11,5.0489,
1978-12,5.0852,
1979-01,5.0541,
1979-02,5.0837,
1979-03,5.0865,
1979-04,5.1310,
1979-05,5.1772,
1979-06,5.1463,
1979-07,5.0314,
1979-08,5.0194,
1979-09,4.9721,
1979-10,4.9567,
1979-11,5.0135,
1979-12,4.9665,
1980-01,4.8999,
1980-02,4.8714,
1980-03,5.0360,
1980-04,5.0479,
1980-05,4.9009,
1980-06,4.8457,
1980-07,4.8073,
1980-08,4.8559,
1980-09,4.8266,
1980-10,4.8844,
1980-11,5.0040,
1980-12,5.1578,
1981-01,5.2229,
1981-02,5.4061,
1981-03,5.3864,
1981-04,5.4563,
1981-05,5.6566,
1981-06,5.8966,
1981-07,6.0870,
1981-08,6.1702,
1981-09,5.9626,
1981-10,5.9022,
1981-11,5.8070,
1981-12,5.7802,
1982-01,5.8516,
1982-02,5.9565,
1982-03,6.0148,
1982-04,6.0706,
1982-05,5.9532,
1982-06,6.1767,
1982-07,6.3407,
1982-08,6.6673,
1982-09,6.8838,
1982-10,7.1573,
1982-11,7.2338,
1982-12,7.0158,
1983-01,7.0335,
1983-02,7.1013,
1983-03,7.1620,
1983-04,7.1256,
1983-05,7.1006,
1983-06,7.2500,
1983-07,7.3120,
1983-08,7.4519,
1983-09,7.4152,
1983-10,7.3096,
1983-11,7.4531,
1983-12,7.7063,
1984-01,7.8556,
1984-02,7.6905,
1984-03,7.4878,
1984-04,7.5800,
1984-05,7.8032,
1984-06,7.8072,
1984-07,8.1944,
1984-08,8.2899,
1984-09,8.5982,
1984-10,8.8585,
1984-11,8.6933,
1984-12,8.9641,
1985-01,9.1596,
1985-02,9.4377,
1985-03,9.4700,
1985-04,8.8882,
1985-05,8.9531,
1985-06,8.8068,
1985-07,8.4409,
1985-08,8.2234,
1985-09,8.3297,
1985-10,7.8974,
1985-11,7.7890,
1985-12,7.6391,
1986-01,7.5390,
1986-02,7.2750,
1986-03,7.1154,
1986-04,7.1438,
1986-05,7.4297,
1986-06,7.6024,
1986-07,7.4604,
1986-08,7.3426,
1986-09,7.3244,
1986-10,7.3376,
1986-11,7.5206,
1986-12,7.5174,
1987-01,7.1610,
1987-02,6.9968,
1987-03,6.9156,
1987-04,6.7596,
1987-05,6.6396,
1987-06,6.7014,
1987-07,6.7439,
1987-08,6.7805,
1987-09,6.6332,
1987-10,6.6163,
1987-11,6.4051,
1987-12,6.3644,
1988-01,6.3337,
1988-02,6.4029,
1988-03,6.3254,
1988-04,6.1966,
1988-05,6.1728,
1988-06,6.3656,
1988-07,6.6964,
1988-08,6.8799,
1988-09,6.8984,
1988-10,6.7416,
1988-11,6.5594,
1988-12,6.4991,
1989-01,6.6518,
1989-02,6.7058,
1989-03,6.7792,
1989-04,6.7790,
1989-05,7.0393,
1989-06,7.1742,
1989-07,6.9407,
1989-08,7.0298,
1989-09,7.1120,
1989-10,6.9310,
1989-11,6.8857,
1989-12,6.6936,
1990-01,6.5295,
1990-02,6.4599,
1990-03,6.5783,
1990-04,6.5396,
1990-05,6.4334,
1990-06,6.4619,
1990-07,6.2924,
1990-08,6.0735,
1990-09,6.0632,
1990-10,5.9093,
1990-11,5.7940,
1990-12,5.8500,
1991-01,5.8950,
1991-02,5.7760,
1991-03,6.2135,
1991-04,6.6127,
1991-05,6.6677,
1991-06,6.9492,
1991-07,6.9668,
1991-08,6.8077,
1991-09,6.6343,
1991-10,6.6116,
1991-11,6.3667,
1991-12,6.1584,
1992-01,6.1846,
1992-02,6.3393,
1992-03,6.5079,
1992-04,6.4432,
1992-05,6.3109,
1992-06,6.1438,
1992-07,5.8429,
1992-08,5.7137,
1992-09,5.7854,
1992-10,6.0261,
1992-11,6.4570,
1992-12,6.6729,comment
1993-01,6.8664,
1993-02,6.9689,
1993-03,6.9932,
1993-04,6.7540,
1993-05,6.7831,
1993-06,6.9702,
1993-07,7.2967,
1993-08,7.3538,
1993-09,7.0708,
1993-10,7.1532,
1993-11,7.3791,
1993-12,7.4087,
1994-01,7.4999,
1994-02,7.4839,
1994-03,7.3381,
1994-04,7.3541,
1994-05,7.1723,
1994-06,7.0680,
1994-07,6.8561,
1994-08,6.8513,
1994-09,6.7926,
1994-10,6.6107,
1994-11,6.7155,
1994-12,6.8442,
1995-01,6.6904,
1995-02,6.5833,
1995-03,6.2581,
